City; Dual
"Washington D.C., Washington D.C.; -112.074993197"
"Atlanta, Georgia; 0.0"
"Philadelphia, Pennsylvania; -128.815764172"
"Dallas, Texas; 0.0"
"San Francisco, California; -168.239365079"
DA Carrier 06 CO; -76.2641995466
WA Carrier 07 CO; 0.0
DA Carrier 01 ID; -37.4954920636
SF Carrier 03 CO; -4662.8585034
PH Carrier 03 CO; -4655.75112925
PH Carrier 06 CO; -4670.66430839
WA Carrier 06 CO; 0.0
PH Carrier 08 SM; 0.0
SF Carrier 02 CO; -4660.76190476
AT Carrier 08 SM; -104.806403628
SF Carrier 07 CO; -4679.69024943
SF Carrier 06 CO; -4675.33469388
WA Carrier 08 SM; 0.0
DA Carrier 04 SM; -60.5349478459
PH Carrier 02 CO; -4647.1035102
PH Carrier 05 CO; -4662.94185941
PH Carrier 04 SM; -4656.47176417
WA Carrier 03 CO; -4665.99230839
DA Carrier 05 CO; -73.6437913833
AT Carrier 01 ID; -52.9342947847
AT Carrier 05 CO; -87.9048163266
SF Carrier 01 ID; -4651.85931973
SF Carrier 05 CO; -4667.50884354
PH Carrier 07 CO; -4679.66349206
WA Carrier 02 CO; -4657.06790023
AT Carrier 02 CO; -67.9102585035
AT Carrier 07 CO; -104.03814966
DA Carrier 08 SM; -86.593904762
WA Carrier 04 SM; -4666.71339683
AT Carrier 03 SM; -68.6984671203
DA Carrier 02 CO; -48.1349478459
DA Carrier 07 CO; -85.7476462587
SF Carrier 04 SM; -4663.53877551
PH Carrier 01 ID; -4638.17148299
AT Carrier 04 CO; -77.1492607711
DA Carrier 03 CO; -59.6610249434
WA Carrier 01 ID; -4646.74454422
WA Carrier 05 CO; -4674.63085714
SF Carrier 08 SM; 0.0
AT Carrier 06 CO; -102.501641723
