Item,Disaster Type,Month,gglCountry,PersonsPerItem
MosquitoNetGen,DEFAULT,DEFAULT,Central African Republic,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Sao Tome and Principe,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Cote d'Ivoire,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Libya,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Democratic Republic of the Congo,2.5
MosquitoNetGen,DEFAULT,DEFAULT,The Gambia,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Guinea-Bissau,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Cape Verde,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Reunion,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Saint Helena,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Mayotte,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Tanzania,2.5
MosquitoNetGen,DEFAULT,DEFAULT,South Sudan,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Congo,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Algeria,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Angola,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Benin,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Botswana,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Burkina Faso,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Burundi,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Cameroon,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Chad,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Comoros,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Djibouti,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Egypt,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Equatorial Guinea,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Eritrea,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Ethiopia,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Gabon,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Ghana,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Guinea,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Kenya,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Lesotho,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Liberia,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Madagascar,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Malawi,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Mali,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Mauritania,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Mauritius,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Morocco,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Mozambique,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Namibia,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Niger,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Nigeria,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Rwanda,2.5
