gglCountryAscii,gglAddressAscii,gglLat,gglLong
Canada,"Ottawa, ON, Canada",45.4215296,-75.6971931
Italy,"Brindisi, Italy",40.6327278,17.9417616
France,"Roissy-en-France, France",49.00363,2.516978
Germany,"Frankfurt, Germany",50.1109221,8.6821267
United States,"Miami, FL, USA",25.7890972,-80.2040435
Panama,Panama,8.983333,-79.516667
United Arab Emirates,Dubai - United Arab Emirates,25.2,55.3
Ghana,"Accra, Ghana",5.55,-0.2
Malaysia,"43000 Subang, Selangor, Malaysia",3.130442,101.5518262
Australia,"Taren Point NSW, Australia",-34.0188092,151.1230662
Australia,"Brisbane QLD, Australia",-27.4710107,153.0234489
Spain,"Madrid, Spain",40.4167754,-3.7037902
New Zealand,"Auckland, New Zealand",-36.8484597,174.7633315
Papua New Guinea,"Lae, Papua New Guinea",-6.733333,147
Indonesia,"Jakarta, Indonesia",-6.2087634,106.845599
Papua New Guinea,"Port Moresby, Papua New Guinea",-9.4438004,147.1802671
United Kingdom,"Cirencester, Gloucestershire GL7, UK",51.718495,-1.968243
Brazil,"Rio de Janeiro, Brazil",-22.9082998,-43.1970773
United Kingdom,"Bicester, Oxfordshire, UK",51.899603,-1.1535899
Spain,"Igualada, Barcelona, Spain",41.5847817,1.6226538
Canada,"Toronto, ON, Canada",43.653226,-79.3831843
Norway,"Oslo, Norway",59.9138688,10.7522454
France,"Saint-Bueil, France",45.475881,5.689402
Kenya,"Nairobi, Kenya",-1.2920659,36.8219462
Poland,"Warsaw, Poland",52.2296756,21.0122287
Norway,"Molde, Norway",62.7372352,7.1607306
Norway,"Kapp, Norway",60.7142485,10.857714
Sweden,"Stockholm, Sweden",59.3293235,18.0685808
Norway,"Kolbotn, Norway",59.8105598,10.8038905
Norway,"Trollasen, Oppegard, Norway",59.821221,10.777945
Turkey,"Ankara/Ankara Province, Turkey",39.92077,32.85411
Austria,"Vienna, Austria",48.2081743,16.3738189
Guadeloupe,"Les Abymes, Guadeloupe",16.2761141,-61.504845
Malaysia,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.139003,101.686855
Spain,"Las Palmas, Spain",28.1235459,-15.4362574
