gglCountryAscii,gglAddressAscii,include
Australia,"Taren Point NSW, Australia",1
Australia,"Brisbane QLD, Australia",1
Austria,"Vienna, Austria",1
Brazil,"Rio de Janeiro, Brazil",1
Canada,"Ottawa, ON, Canada",1
Canada,"Toronto, ON, Canada",1
France,"Roissy-en-France, France",1
France,"Saint-Bueil, France",1
Germany,"Frankfurt, Germany",1
Ghana,"Accra, Ghana",1
Guadeloupe,"Les Abymes, Guadeloupe",1
Indonesia,"Jakarta, Indonesia",1
Italy,"Brindisi, Italy",1
Kenya,"Nairobi, Kenya",1
Malaysia,"43000 Subang, Selangor, Malaysia",1
Malaysia,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",1
New Zealand,"Auckland, New Zealand",1
Norway,"Oslo, Norway",1
Norway,"Molde, Norway",1
Norway,"Kapp, Norway",1
Norway,"Kolbotn, Norway",1
Norway,"Trollasen, Oppegard, Norway",1
Panama,Panama,1
Papua New Guinea,"Lae, Papua New Guinea",1
Papua New Guinea,"Port Moresby, Papua New Guinea",1
Poland,"Warsaw, Poland",1
Spain,"Madrid, Spain",1
Spain,"Igualada, Barcelona, Spain",1
Spain,"Las Palmas, Spain",1
Sweden,"Stockholm, Sweden",1
Turkey,"Ankara/Ankara Province, Turkey",1
United Arab Emirates,Dubai - United Arab Emirates,1
United Kingdom,"Cirencester, Gloucestershire GL7, UK",1
United Kingdom,"Bicester, Oxfordshire, UK",1
United States,"Miami, FL, USA",1
