gglCountryAscii,gglAddressAscii,include
Australia,"Taren Point NSW, Australia",0
Australia,"Brisbane QLD, Australia",0
Austria,"Vienna, Austria",0
Brazil,"Rio de Janeiro, Brazil",0
Canada,"Ottawa, ON, Canada",0
Canada,"Toronto, ON, Canada",0
France,"Roissy-en-France, France",0
France,"Saint-Bueil, France",0
Germany,"Frankfurt, Germany",0
Ghana,"Accra, Ghana",0
Guadeloupe,"Les Abymes, Guadeloupe",0
Indonesia,"Jakarta, Indonesia",0
Italy,"Brindisi, Italy",0
Kenya,"Nairobi, Kenya",0
Malaysia,"43000 Subang, Selangor, Malaysia",1
Malaysia,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",0
New Zealand,"Auckland, New Zealand",0
Norway,"Oslo, Norway",0
Norway,"Molde, Norway",0
Norway,"Kapp, Norway",0
Norway,"Kolbotn, Norway",0
Norway,"Trollasen, Oppegard, Norway",0
Panama,Panama,0
Papua New Guinea,"Lae, Papua New Guinea",0
Papua New Guinea,"Port Moresby, Papua New Guinea",0
Poland,"Warsaw, Poland",0
Spain,"Madrid, Spain",0
Spain,"Igualada, Barcelona, Spain",0
Spain,"Las Palmas, Spain",0
Sweden,"Stockholm, Sweden",0
Turkey,"Ankara/Ankara Province, Turkey",1
United Arab Emirates,Dubai - United Arab Emirates,1
United Kingdom,"Cirencester, Gloucestershire GL7, UK",0
United Kingdom,"Bicester, Oxfordshire, UK",0
United States,"Miami, FL, USA",0
