gglAddressAsciiMapFrom,gglAddressAsciiMapTo
"Taren Point NSW, Australia","Taren Point NSW, Australia"
"Brisbane QLD, Australia","Brisbane QLD, Australia"
"Vienna, Austria","Vienna, Austria"
"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil"
"Toronto, ON, Canada","Toronto, ON, Canada"
"Roissy-en-France, France","Roissy-en-France, France"
"Frankfurt, Germany","Frankfurt, Germany"
"Accra, Ghana","Accra, Ghana"
"Les Abymes, Guadeloupe","Les Abymes, Guadeloupe"
"Jakarta, Indonesia","Jakarta, Indonesia"
"Brindisi, Italy","Brindisi, Italy"
"Nairobi, Kenya","Nairobi, Kenya"
"43000 Subang, Selangor, Malaysia","43000 Subang, Selangor, Malaysia"
"Auckland, New Zealand","Auckland, New Zealand"
"Oslo, Norway","Oslo, Norway"
Panama,Panama
"Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea"
"Warsaw, Poland","Warsaw, Poland"
"Madrid, Spain","Igualada, Barcelona, Spain"
"Las Palmas, Spain","Las Palmas, Spain"
"Stockholm, Sweden","Stockholm, Sweden"
"Ankara/Ankara Province, Turkey","Ankara/Ankara Province, Turkey"
Dubai - United Arab Emirates,Dubai - United Arab Emirates
"Bicester, Oxfordshire, UK","Bicester, Oxfordshire, UK"
"Miami, FL, USA","Miami, FL, USA"
"Ottawa, ON, Canada","Toronto, ON, Canada"
"Saint-Bueil, France","Roissy-en-France, France"
"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","43000 Subang, Selangor, Malaysia"
"Molde, Norway","Oslo, Norway"
"Kapp, Norway","Oslo, Norway"
"Kolbotn, Norway","Oslo, Norway"
"Trollasen, Oppegard, Norway","Oslo, Norway"
"Lae, Papua New Guinea","Port Moresby, Papua New Guinea"
"Igualada, Barcelona, Spain","Igualada, Barcelona, Spain"
"Cirencester, Gloucestershire GL7, UK","Bicester, Oxfordshire, UK"
