Day,Month,Year,gglAddress,gglCountry,Type   ,Sub Type   ,TotAffected   ,DisasterID
0,1,2011,"Kabul, Afghanistan",Afghanistan,Drought ,Drought ,1750000,EmDat:2011-9312
0,10,2008,"Kabul, Afghanistan",Afghanistan,Drought ,Drought ,280000,EmDat:2008-9475
0,7,2006,"Kabul, Afghanistan",Afghanistan,Drought ,Drought ,1900000,EmDat:2006-9570
0,5,2000,"Kabul, Afghanistan",Afghanistan,Drought ,Drought ,2580000,EmDat:2000-9186
0,8,1971,"Kabul, Afghanistan",Afghanistan,Drought ,Drought ,,EmDat:1971-9085
0,1,1969,"Kabul, Afghanistan",Afghanistan,Drought ,Drought ,48000,EmDat:1969-9007
11,6,2012,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,237,EmDat:2012-0164
18,4,2010,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,1070,EmDat:2010-0669
17,4,2009,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,3309,EmDat:2009-0156
29,7,2006,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,935,EmDat:2006-0405
13,12,2005,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,501,EmDat:2005-0686
8,10,2005,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,,EmDat:2005-0575
18,7,2004,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,1040,EmDat:2004-0436
10,4,2003,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,1001,EmDat:2003-0236
12,4,2002,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,6150,EmDat:2002-0208
25,3,2002,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,91228,EmDat:2002-0175
3,3,2002,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,3513,EmDat:2002-0122
1,6,2001,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,270,EmDat:2001-0233
25,2,2001,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,,EmDat:2001-0086
19,1,2000,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,,EmDat:2000-0063
11,2,1999,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,91960,EmDat:1999-0054
20,2,1998,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,,EmDat:1998-0579
30,5,1998,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,116935,EmDat:1998-0152
4,2,1998,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,32818,EmDat:1998-0026
10,5,1997,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,,EmDat:1997-0095
31,1,1996,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,3250,EmDat:1996-0020
1,5,1994,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,100330,EmDat:1994-0057
20,5,1992,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,,EmDat:1992-0202
18,4,1991,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,,EmDat:1991-0498
31,1,1991,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,7000,EmDat:1991-0033
2,2,1984,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,35,EmDat:1984-0309
16,12,1983,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,34503,EmDat:1983-0166
16,12,1982,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,38000,EmDat:1982-0127
19,3,1976,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,90000,EmDat:1976-0028
10,6,1956,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,2000,EmDat:1956-0008
10,6,1954,"Kabul, Afghanistan",Afghanistan,Earthquake (seismic activity) ,Earthquake (ground shaking) ,,EmDat:1954-0009
6,10,2008,"Kabul, Afghanistan",Afghanistan,Epidemic ,Bacterial Infectious Diseases ,1100,EmDat:2008-0602
25,6,2005,"Kabul, Afghanistan",Afghanistan,Epidemic ,Bacterial Infectious Diseases ,3245,EmDat:2005-0326
1,9,2002,"Kabul, Afghanistan",Afghanistan,Epidemic ,Bacterial Infectious Diseases ,115,EmDat:2002-0703
24,10,2002,"Kabul, Afghanistan",Afghanistan,Epidemic ,  ,,EmDat:2002-0666
1,7,2002,"Kabul, Afghanistan",Afghanistan,Epidemic ,  ,6688,EmDat:2002-0436
0,7,2002,"Kabul, Afghanistan",Afghanistan,Epidemic ,  ,,EmDat:2002-0419
0,1,2002,"Kabul, Afghanistan",Afghanistan,Epidemic ,Parasitic Infectious Diseases ,200000,EmDat:2002-0295
10,4,2002,"Kabul, Afghanistan",Afghanistan,Epidemic ,  ,,EmDat:2002-0206
28,3,2002,"Kabul, Afghanistan",Afghanistan,Epidemic ,  ,31,EmDat:2002-0188
0,3,2002,"Kabul, Afghanistan",Afghanistan,Epidemic ,Viral Infectious Diseases ,,EmDat:2002-0139
1,12,2001,"Kabul, Afghanistan",Afghanistan,Epidemic ,  ,40,EmDat:2001-0777
1,6,2001,"Kabul, Afghanistan",Afghanistan,Epidemic ,Bacterial Infectious Diseases ,4385,EmDat:2001-0331
0,9,2000,"Kabul, Afghanistan",Afghanistan,Epidemic ,  ,613,EmDat:2000-0623
