gglCountryAscii,gglAddressAscii,gglLat,gglLong
Central African Republic,"Bangui, Central African Republic",4.366667,18.583333
Saint Vincent and the Grenadines,"Kingstown, Saint Vincent and the Grenadines",13.157778,-61.225
Germany,"Berlin, Germany",52.5200066,13.404954
Portugal,"Ponta Delgada, Portugal",37.742242,-25.67495
British Virgin Islands,"Road Town, British Virgin Islands",18.431389,-64.623056
Wallis and Futuna,"Mata'utu, Wallis and Futuna",-13.2825091,-176.1764475
Taiwan,"Taipei City, Taiwan",25.091075,121.5598345
Czech Republic,"Prague, Czech Republic",50.0755381,14.4378005
Moldova,"Chisinau, Moldova",47.0107,28.8687
Macau,Macau,22.198745,113.543873
North Korea,"Pyongyang, North Korea",39.0392193,125.7625241
Dominican Republic,"Santo Domingo, Dominican Republic",18.466667,-69.95
Vietnam,"Hanoi, Hoan Kiem District, Hanoi, Vietnam",21.033333,105.85
Saint Vincent and the Grenadines,"Kingstown, Saint Vincent and the Grenadines",13.157778,-61.225
Sao Tome and Principe,"Sao Tome, Sao Tome and Principe",0.3301924,6.733343
Cote d'Ivoire,"Yamoussoukro, Cote d'Ivoire",6.816667,-5.283333
U.S. Virgin Islands,"Charlotte Amalie, St. Thomas 00802, USVI",18.3419004,-64.9307007
Marshall Islands,"Majuro Atoll, RMI",7.1164214,171.1857736
Wallis and Futuna,"Mata'utu, Wallis and Futuna",-13.2825091,-176.1764475
Timor-Leste,"Dili, Timor-Leste",-8.5568557,125.5603143
Libya,"Tripoli, Libya",32.8084124,13.1509672
Syria,"Damascus, Syria",33.513,36.292
Cook Islands,"Avarua District, Cook Islands",-21.2129007,-159.7823059
Brunei,"Bandar Seri Begawan, Brunei",4.890278,114.942222
Democratic Republic of the Congo,"Kinshasa, Democratic Republic of the Congo",-4.331667,15.313889
Iran,"Tehran, Iran",35.696111,51.423056
Macedonia (FYROM),"Skopje, Macedonia (FYROM)",41.9973462,21.4279956
South Korea,"Seoul, South Korea",37.566535,126.9779692
Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8562586,18.4130763
Northern Mariana Islands,"Saipan, 96950, CNMI",15.177801,145.750967
Israel,"Jerusalem, Israel",31.768319,35.21371
Spain,"Las Palmas, Spain",28.1235459,-15.4362574
The Gambia,"Banjul, The Gambia",13.453056,-16.5775
Yemen,"Sana'a, Yemen",15.3694451,44.1910066
Hong Kong,Hong Kong,22.396428,114.109497
Guinea-Bissau,"Bissau, Guinea-Bissau",11.8816553,-15.6177942
Cape Verde,"Praia, Cape Verde",14.95,-23.516667
Tokelau,Tokelau,-9.2002,-171.8484
Reunion,"Saint-Denis, Reunion",-20.882057,55.450675
Solomon Islands,"Honiara, Solomon Islands",-9.4456381,159.9728999
Micronesia,"Palikir, Pohnpei, Micronesia",6.917222,158.158889
Curacao,"Willemstad, Curacao",12.1224221,-68.8824233
United Kingdom,"London, UK",51.5073509,-0.1277583
Laos,"Vientiane, Laos",17.966667,102.6
Turks and Caicos Islands,"Cockburn Town TKCA 1ZZ, Turks and Caicos Islands",21.459,-71.139
Saint Kitts and Nevis,"Basseterre, Saint Kitts and Nevis",17.3026058,-62.7176924
Czech Republic,"Prague, Czech Republic",50.0755381,14.4378005
Martinique,"Fort-de-France Bay, Martinique",14.6160647,-61.0587804
China,"Beijing, China",39.90403,116.407526
Saint Helena,"Jamestown STHL 1ZZ, Saint Helena",-15.92213,-5.704682
Mayotte,"Mamoudzou, Mayotte",-12.7806,45.2278
Tanzania,"Dodoma, Tanzania",-6.173056,35.741944
Saint Lucia,"Castries City, Saint Lucia",14.0101094,-60.9874687
Yemen,"Sana'a, Yemen",15.3694451,44.1910066
South Sudan,"Juba, South Sudan",4.85,31.6
Guadeloupe,"Basse Terre, Guadeloupe",16,-61.733333
Russia,"Moscow, Russia",55.755826,37.6173
Serbia,"Belgrade, Serbia",44.816667,20.466667
Germany,"Berlin, Germany",52.5200066,13.404954
Congo,"Brazzaville, Congo",-4.267778,15.291944
Serbia,"Belgrade, Serbia",44.816667,20.466667
Afghanistan,"Kabul, Afghanistan",34.533333,69.166667
Albania,"Tirana, Albania",41.3275459,19.8186982
Algeria,"Algiers, Algeria",36.752887,3.042048
American Samoa,"Pago Pago, Eastern, American Samoa",-14.279444,-170.700556
Angola,"Luanda, Angola",-8.838333,13.234444
Anguilla,"The Valley AI-2640, Anguilla",18.2148129,-63.0574406
Antigua and Barbuda,"Saint John's, Antigua and Barbuda",17.116667,-61.85
Argentina,"Buenos Aires, Argentina",-34.6037232,-58.3815931
Armenia,"Yerevan, Armenia",40.183333,44.516667
Australia,"Canberra ACT 2601, Australia",-35.2819998,149.1286843
Austria,"Vienna, Austria",48.2081743,16.3738189
Azerbaijan,"Baku, Azerbaijan",40.4349504,49.8676232
The Bahamas,"Nassau, The Bahamas",25.06,-77.345
Bahrain,"Manama, Bahrain",26.216667,50.583333
Bangladesh,"Dhaka, Bangladesh",23.810332,90.4125181
Barbados,"Bridgetown, Barbados",13.1132219,-59.5988089
Belarus,"Minsk, Belarus",53.9,27.566667
Belgium,"Brussels, Belgium",50.8503396,4.3517103
Belize,"Belmopan, Belize",17.251389,-88.766944
Benin,"Porto Novo, Benin",6.497222,2.605
Bermuda,"Hamilton, Bermuda",32.294816,-64.781375
Bhutan,"Thimphu, Bhutan",27.4727924,89.6392863
Bolivia,"Sucre, Bolivia",-19.0195852,-65.2619615
Botswana,"Gaborone, Botswana",-24.658056,25.912222
Brazil,"Brasilia - Federal District, Brazil",-15.7941454,-47.8825479
Bulgaria,"Sofia, Bulgaria",42.6977082,23.3218675
Burkina Faso,"Ouagadougou, Burkina Faso",12.35,-1.516667
Burundi,"Bujumbura, Burundi",-3.383333,29.366667
Cambodia,"Phnom Penh, Cambodia",11.5448729,104.8921668
Cameroon,"Yaounde, Cameroon",3.866667,11.516667
Canada,"Ottawa, ON, Canada",45.4215296,-75.6971931
Cayman Islands,"George Town, Cayman Islands",19.2869323,-81.3674389
Chad,"N'Djamena, Chad",12.113056,15.049167
Chile,"Santiago, Santiago Metropolitan Region, Chile",-33.4691199,-70.641997
Colombia,"Bogota, Bogota, Colombia",4.598056,-74.075833
Comoros,"Moroni, Comoros",-11.7172157,43.2473146
Costa Rica,"San Jose, Costa Rica",9.9280694,-84.0907246
Croatia,"Zagreb, Croatia",45.8150108,15.981919
Cuba,"Havana, Cuba",23.0540698,-82.345189
Nicosia,Nicosia,35.166667,33.366667
Denmark,"Copenhagen, Denmark",55.6760968,12.5683371
Djibouti,Djibouti,11.588333,43.145
Dominica,"Roseau, Dominica",15.301389,-61.388333
Ecuador,"Quito, Ecuador",-0.1806532,-78.4678382
Egypt,"Cairo, Cairo Governorate, Egypt",30.0444196,31.2357116
El Salvador,"San Salvador, El Salvador",13.6929403,-89.2181911
Equatorial Guinea,"Malabo, Equatorial Guinea",3.75,8.783333
Eritrea,"Asmara, Eritrea",15.333333,38.933333
Estonia,"Tallinn, Estonia",59.4369608,24.7535746
Ethiopia,"Addis Ababa, Ethiopia",8.9806034,38.7577605
Fiji,"Suva, Fiji",-18.1416,178.4419
Finland,"Helsinki, Finland",60.1733244,24.9410248
France,"Paris, France",48.856614,2.3522219
French Guiana,"Cayenne, French Guiana",4.9227,-52.3269
French Polynesia,"Pape'ete, French Polynesia",-17.535,-149.5696
Gabon,"Libreville, Gabon",0.3901,9.4544
Georgia,"Tbilisi, Georgia",41.716667,44.783333
Germany,"Berlin, Germany",52.5200066,13.404954
Ghana,"Accra, Ghana",5.55,-0.2
Greece,"Athens, Greece",37.983917,23.7293599
Grenada,"Saint Georges, Grenada",12.0560975,-61.7487996
Guam,"Hagatna, Guam",13.4708908,144.7512782
Guatemala,"Guatemala City, Guatemala",14.613333,-90.535278
Guinea,"Conakry, Guinea",9.509167,-13.712222
Guyana,"Georgetown, Guyana",6.8,-58.166667
Haiti,"Port-au-Prince, Haiti",18.533333,-72.333333
Honduras,"Tegucigalpa, Honduras",14.0833,-87.2167
Hungary,"Budapest, Hungary",47.497912,19.040235
Iceland,"Reykjavik, Iceland",64.133333,-21.933333
India,"New Delhi, Delhi, India",28.635308,77.22496
Indonesia,"Jakarta, Indonesia",-6.2087634,106.845599
Iraq,"Baghdad, Iraq",33.325,44.422
Ireland,"Dublin, Ireland",53.3498053,-6.2603097
Israel,"Jerusalem, Israel",31.768319,35.21371
Italy,"Rome, Italy",41.8723889,12.4801802
Jamaica,"Kingston, Jamaica",17.983333,-76.8
Japan,"Tokyo, Japan",35.6894875,139.6917064
Jordan,"Amman, Jordan",31.9565783,35.9456951
Kazakhstan,"Astana 020000, Kazakhstan",51.180556,71.461111
Kenya,"Nairobi, Kenya",-1.2920659,36.8219462
Kiribati,"Bairiki, Kiribati",1.3290526,172.9790528
Kuwait,"Kuwait City, Kuwait",29.369722,47.978333
Kyrgyzstan,"Bishkek, Kyrgyzstan",42.874722,74.612222
Latvia,"Riga, Latvia",56.9496487,24.1051864
Lebanon,"Beirut, Lebanon",33.8886289,35.4954794
Lesotho,"Maseru, Lesotho",-29.31,27.48
Liberia,"Monrovia, Liberia",6.313333,-10.801389
Lithuania,"Vilnius, Lithuania",54.6871555,25.2796514
Luxembourg,"Luxemburg City, Luxembourg",49.611621,6.1319346
Madagascar,"Antananarivo, Madagascar",-18.933333,47.516667
Malawi,"Lilongwe, Malawi",-13.983333,33.783333
Malaysia,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.139003,101.686855
Maldives,"Male, Maldives",4.175278,73.508889
Mali,"Bamako, Mali",12.65,-8
Malta,"Valletta, Malta",35.8989085,14.5145528
Mauritania,"Nouakchott, Mauritania",18.1,-15.95
Mauritius,"Port Louis, Mauritius",-20.166667,57.516667
Mexico,"Mexico City, Federal District, Mexico",19.4326077,-99.133208
Mongolia,"Ulaanbaatar, Mongolia",47.92,106.92
Montenegro,"Podgorica, Montenegro",42.441044,19.262825
Montserrat,"Plymouth, Montserrat",16.706523,-62.215738
Morocco,"Rabat, Morocco",33.9715904,-6.8498129
Mozambique,"Maputo, Mozambique",-25.966667,32.583333
Republic of the Union of Myanmar,"Naypyitaw, Republic of the Union of Myanmar",19.75,96.1
Namibia,"Windhoek, Namibia",-22.57,17.083611
Nepal,"Kathmandu 44600, Nepal",27.7,85.333333
The Netherlands,"Amsterdam, The Netherlands",52.3702157,4.8951679
New Caledonia,"Noumea, New Caledonia",-22.2758,166.458
New Zealand,"Wellington, New Zealand",-41.2864603,174.776236
Nicaragua,"Managua, Nicaragua",12.136389,-86.251389
Niger,"Niamey, Niger",13.521389,2.105278
Nigeria,"Abuja, Nigeria",9.066667,7.483333
Niue,"Alofi, Niue",-19.0553711,-169.9178709
Norway,"Oslo, Norway",59.9138688,10.7522454
Oman,"Muscat, Oman",23.61,58.54
Pakistan,"Islamabad, Pakistan",33.7293882,73.0931461
Palau,Palau,7.51498,134.58252
Panama,Panama,8.983333,-79.516667
Papua New Guinea,"Port Moresby, Papua New Guinea",-9.4438004,147.1802671
Paraguay,"Asuncion, Paraguay",-25.282197,-57.6351
Peru,"Lima, Peru",-12.046374,-77.0427934
Philippines,"Manila, Philippines",14.5995124,120.9842195
Poland,"Warsaw, Poland",52.2296756,21.0122287
Portugal,"Lisbon, Portugal",38.7222524,-9.1393366
Puerto Rico,"San Juan, Puerto Rico",18.4663338,-66.1057217
Qatar,"Doha, Qatar",25.286667,51.533333
Romania,"Bucharest, Romania",44.4325,26.103889
Russia,"Moscow, Russia",55.755826,37.6173
Rwanda,"Kigali, Rwanda",-1.943889,30.059444
Samoa,"Apia, Samoa",-13.833333,-171.75
Saudi Arabia,Riyadh Saudi Arabia,24.633333,46.716667
Senegal,"Dakar, Senegal",14.7645042,-17.3660286
Serbia,"Belgrade, Serbia",44.816667,20.466667
Seychelles,"Victoria, Seychelles",-4.6167,55.45
Sierra Leone,"Freetown, Sierra Leone",8.484444,-13.234444
Singapore,Singapore,1.2800945,103.8509491
Slovakia,"Bratislava, Slovakia",48.1458923,17.1071373
Slovenia,"Ljubljana, Slovenia",46.0569465,14.5057515
Somalia,"Mogadishu, Somalia",2.033333,45.35
South Africa,"Pretoria, South Africa",-25.746111,28.188056
Spain,"Madrid, Spain",40.4167754,-3.7037902
Sri Lanka,"Sri Jayawardenepura Kotte, Sri Lanka",6.8940701,79.9024779
Sudan,"Khartoum, Sudan",15.566667,32.516667
Suriname,"Paramaribo, Suriname",5.8520355,-55.2038278
Swaziland,"Mbabane, Swaziland",-26.316667,31.133333
Sweden,"Stockholm, Sweden",59.3293235,18.0685808
Switzerland,"Berne, Switzerland",46.9479222,7.4446085
Tajikistan,"Dushanbe, Tajikistan",38.536667,68.78
Thailand,"Bangkok, Thailand",13.7278956,100.5241235
Togo,"Lome, Togo",6.137778,1.2125
Tonga,"Nuku'alofa, Tonga",-21.133333,-175.2
Trinidad and Tobago,"Port of Spain, Trinidad and Tobago",10.666667,-61.516667
Tunisia,"Tunis, Tunisia",36.8064948,10.1815316
Turkey,"Ankara/Ankara Province, Turkey",39.92077,32.85411
Turkmenistan,"Ashgabat, Turkmenistan",37.933333,58.366667
Tuvalu,"Funafuti, Tuvalu",-8.516667,179.216667
Uganda,"Kampala, Uganda",0.313611,32.581111
Ukraine,"Kiev, Kyiv city, Ukraine",50.4501,30.5234
United Arab Emirates,Abu Dhabi - United Arab Emirates,24.466667,54.366667
United States,"Washington, DC, USA",38.9071923,-77.0368707
Uruguay,"Montevideo, Uruguay",-34.883611,-56.181944
Uzbekistan,"Tashkent, Uzbekistan",41.266667,69.216667
Vanuatu,"Port Vila, Vanuatu",-17.7332512,168.3273245
Venezuela,"Caracas, Venezuela",10.5,-66.916667
