Item,Disaster Type,Month,gglCountry,PersonsPerItem
MosquitoNetGen,DEFAULT,DEFAULT,Vanuatu,2.5
MosquitoNetGen,DEFAULT,-1,Vanuatu,2.5
BlanketGen,DEFAULT,1,Vanuatu,13.24
BlanketGen,DEFAULT,2,Vanuatu,18.75
BlanketGen,DEFAULT,3,Vanuatu,14.06
BlanketGen,DEFAULT,4,Vanuatu,7.76
BlanketGen,DEFAULT,5,Vanuatu,5
BlanketGen,DEFAULT,6,Vanuatu,3.81
BlanketGen,DEFAULT,7,Vanuatu,3
BlanketGen,DEFAULT,8,Vanuatu,2.78
BlanketGen,DEFAULT,9,Vanuatu,3.04
BlanketGen,DEFAULT,10,Vanuatu,3.63
BlanketGen,DEFAULT,11,Vanuatu,5.11
BlanketGen,DEFAULT,12,Vanuatu,7.26
BlanketGen,DEFAULT,-1,Vanuatu,4.95
BlanketGen,DEFAULT,DEFAULT,Vanuatu,4.95
JerryCanGen,DEFAULT,DEFAULT,DEFAULT,2.5
KitchenSetGen,DEFAULT,DEFAULT,DEFAULT,5
JerryCanGen,DEFAULT,-1,DEFAULT,2.5
KitchenSetGen,DEFAULT,-1,DEFAULT,5
Tarpaulin4x6,DEFAULT,DEFAULT,DEFAULT,2.5
Tarpaulin4x6,DEFAULT,-1,DEFAULT,2.5
Tent,DEFAULT,DEFAULT,DEFAULT,5
Tent,DEFAULT,-1,DEFAULT,5
ShelterKit,DEFAULT,DEFAULT,DEFAULT,5
ShelterKit,DEFAULT,-1,DEFAULT,5
SleepingMats,DEFAULT,DEFAULT,DEFAULT,1
SleepingMats,DEFAULT,-1,DEFAULT,1
