Agency,NameCity,gglCountryAscii,gglAddressAscii,gglLat,gglLong
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139
RED CROSS,Port Vila,Vanuatu,"Port Vila, Vanuatu - RED CROSS",-17.745611,168.318139
RED CROSS,Santo,Vanuatu,"Santo, Vanuatu - RED CROSS",-15.509222,167.183333
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131
Oxfam,Burumba,Vanuatu,"Burumba, Vanuatu - Oxfam",-16.724676,168.147114
Oxfam,Rovolio,Vanuatu,"Rovolio, Vanuatu - Oxfam",-16.724676,168.147114
Oxfam,Tomali,Vanuatu,"Tomali, Vanuatu - Oxfam",-16.790899,168.364464
ADRA ,Port Vila,Vanuatu,"Port Vila, Vanuatu - ADRA",-17.751839,168.316389
ADRA ,Tanna,Vanuatu,"Tanna, Vanuatu - ADRA",-19.574483,169.293456
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA",-15.510339,167.171469
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375
