Day,Month,Year,Island name (what I convert to),gglAddress,gglCountry,Type   ,DisasterID,TotAffected
26,11,2009,Gaua Island,Gaua Island,Vanuatu,Volcano ,EmDat:2009-0553,400
3,1,2002,Efate island,Efate Island,Vanuatu,Earthquake (seismic activity) ,EmDat:2002-0002,500
28,11,2002,Merelava island,Merelava Island,Vanuatu,Earthquake (seismic activity) ,EmDat:2002-0770,503
7,4,2001,Santo island,Santo Island,Vanuatu,Storm ,EmDat:2001-0143,195
7,4,2001,Malekula island,Malekula Island,Vanuatu,Storm ,EmDat:2001-0143,112
7,4,2001,Shepherd islands,Shepherd Islands,Vanuatu,Storm ,EmDat:2001-0143,18
7,4,2001,Efate island,Efate Island,Vanuatu,Storm ,EmDat:2001-0143,321
7,4,2001,Erromango island,Erromango Island,Vanuatu,Storm ,EmDat:2001-0143,10
7,4,2001,Tanna island,Tanna Island,Vanuatu,Storm ,EmDat:2001-0143,141
7,4,2001,Aneityum island,Aneityum Island,Vanuatu,Storm ,EmDat:2001-0143,4
15,4,2009,Ambrym Island,Ambrym Island,Vanuatu,Flood ,EmDat:2009-0171,950
9,3,1992,Efate island,Efate Island,Vanuatu,Storm ,EmDat:1992-0050,1150
0,8,1988,Ambae island,Ambae Island,Vanuatu,Storm ,EmDat:1988-0676,94
0,8,1988,Ambrym Island,Ambrym Island,Vanuatu,Storm ,EmDat:1988-0676,66
0,8,1988,Aneityum island,Aneityum Island,Vanuatu,Storm ,EmDat:1988-0676,8
0,8,1988,Aniwa islands,Aniwa Islands,Vanuatu,Storm ,EmDat:1988-0676,3
0,8,1988,Efate island,Efate Island,Vanuatu,Storm ,EmDat:1988-0676,597
0,8,1988,Epi island,Epi Island,Vanuatu,Storm ,EmDat:1988-0676,47
0,8,1988,Erromango island,Erromango Island,Vanuatu,Storm ,EmDat:1988-0676,18
0,8,1988,Gaua Island,Gaua Island,Vanuatu,Storm ,EmDat:1988-0676,23
0,8,1988,Maewo island,Maewo Island,Vanuatu,Storm ,EmDat:1988-0676,33
0,8,1988,Malekula island,Malekula Island,Vanuatu,Storm ,EmDat:1988-0676,208
0,8,1988,Malo island,Malo Island,Vanuatu,Storm ,EmDat:1988-0676,39
0,8,1988,Merelava island,Merelava Island,Vanuatu,Storm ,EmDat:1988-0676,6
0,8,1988,Paama Island,Paama Island,Vanuatu,Storm ,EmDat:1988-0676,14
0,8,1988,Pentecost island,Pentecost Island,Vanuatu,Storm ,EmDat:1988-0676,154
0,8,1988,Santo island,Santo Island,Vanuatu,Storm ,EmDat:1988-0676,362
0,8,1988,Tanna island,Tanna Island,Vanuatu,Storm ,EmDat:1988-0676,263
0,8,1988,Shepherd islands,Shepherd Islands,Vanuatu,Storm ,EmDat:1988-0676,33
0,8,1988,Torres islands,Torres Islands,Vanuatu,Storm ,EmDat:1988-0676,9
0,8,1988,Vanua lava island,Vanua Lava Island,Vanuatu,Storm ,EmDat:1988-0676,24
21,3,1998,Erromango island,Erromango Island,Vanuatu,Storm ,EmDat:1998-0090,64
21,3,1998,Tanna island,Tanna Island,Vanuatu,Storm ,EmDat:1998-0090,943
21,3,1998,Aniwa islands,Aniwa Islands,Vanuatu,Storm ,EmDat:1998-0090,11
21,3,1998,Gaua Island,Gaua Island,Vanuatu,Storm ,EmDat:1998-0090,81
21,3,1998,Santo island,Santo Island,Vanuatu,Storm ,EmDat:1998-0090,1301
0,0,1988,Ambae island,Ambae Island,Vanuatu,Mass movement wet ,EmDat:1988-0694,141
0,0,1988,Ambrym Island,Ambrym Island,Vanuatu,Mass movement wet ,EmDat:1988-0694,99
0,0,1988,Aneityum island,Aneityum Island,Vanuatu,Mass movement wet ,EmDat:1988-0694,12
0,0,1988,Aniwa islands,Aniwa Islands,Vanuatu,Mass movement wet ,EmDat:1988-0694,5
0,0,1988,Efate island,Efate Island,Vanuatu,Mass movement wet ,EmDat:1988-0694,895
0,0,1988,Epi island,Epi Island,Vanuatu,Mass movement wet ,EmDat:1988-0694,71
0,0,1988,Erromango island,Erromango Island,Vanuatu,Mass movement wet ,EmDat:1988-0694,27
0,0,1988,Gaua Island,Gaua Island,Vanuatu,Mass movement wet ,EmDat:1988-0694,34
0,0,1988,Maewo island,Maewo Island,Vanuatu,Mass movement wet ,EmDat:1988-0694,49
0,0,1988,Malekula island,Malekula Island,Vanuatu,Mass movement wet ,EmDat:1988-0694,312
0,0,1988,Malo island,Malo Island,Vanuatu,Mass movement wet ,EmDat:1988-0694,58
