Day,Month,Year,Island name (what I convert to),gglAddress,gglCountry,Type   ,DisasterID,TotAffected
12,3,2015,Gaua Island,Gaua Island,Vanuatu,Storm ,EmDat:2015-0093,2664
12,3,2015,Ambae Island,Ambae Island,Vanuatu,Storm ,EmDat:2015-0093,11131
12,3,2015,Maewo island,Maewo Island,Vanuatu,Storm ,EmDat:2015-0093,3851
12,3,2015,Pentecost island,Pentecost Island,Vanuatu,Storm ,EmDat:2015-0093,18183
12,3,2015,Santo island,Santo Island,Vanuatu,Storm ,EmDat:2015-0093,42784
12,3,2015,Malo island,Malo Island,Vanuatu,Storm ,EmDat:2015-0093,4570
12,3,2015,Malekula island,Malekula Island,Vanuatu,Storm ,EmDat:2015-0093,24530
12,3,2015,Ambrym Island,Ambrym Island,Vanuatu,Storm ,EmDat:2015-0093,7781
12,3,2015,Efate island,Efate Island,Vanuatu,Storm ,EmDat:2015-0093,70410
12,3,2015,Erromango island,Erromango Island,Vanuatu,Storm ,EmDat:2015-0093,2095
