gglCountryAscii,gglAddressAscii,gglLat,gglLong
Vanuatu,Ambae Island,-15.366142,167.814572
Vanuatu,Ambrym Island,-16.236908,168.157187
Vanuatu,Aneityum Island,-20.195206,169.807476
Vanuatu,Aniwa Islands,-19.25135,169.599552
Vanuatu,Efate Island,-17.640498,168.428964
Vanuatu,Epi Island,-16.733147,168.271542
Vanuatu,Erromango Island,-18.804354,169.151661
Vanuatu,Gaua Island,-14.273755,167.515452
Vanuatu,Maewo Island,-15.136524,168.120766
Vanuatu,Malekula Island,-16.283095,167.523529
Vanuatu,Malo Island,-15.656333,167.172131
Vanuatu,Merelava Island,-14.460985,168.047862
Vanuatu,Paama Island,-16.468264,168.236045
Vanuatu,Pentecost Island,-15.702834,168.182135
Vanuatu,Santo Island,-15.263325,166.913032
Vanuatu,Shepherd Islands,-17.074649,168.365189
Vanuatu,Tanna Island,-19.505233,169.353938
Vanuatu,Torres Islands,-13.244451,166.618161
Vanuatu,Vanua Lava Island,-13.835597,167.445095
