Agency,NameCity,gglCountryAscii,gglAddressAscii,gglLat,gglLong,gglCountryAscii,gglAddressAscii,gglLat,gglLong,drivingTime_hrs,distance_km
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Ambae island,-15.366142,167.814572,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Ambrym Island,-16.236908,168.157187,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Aneityum island,-20.195206,169.807476,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Aniwa islands,-19.25135,169.599552,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Efate island,-17.640498,168.428964,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Epi island,-16.733147,168.271542,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Erromango island,-18.804354,169.151661,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Gaua Island,-14.273755,167.515452,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Maewo island,-15.136524,168.120766,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Malekula island,-16.283095,167.523529,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Malo island,-15.656333,167.172131,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Merelava island,-14.460985,168.047862,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Paama Island,-16.468264,168.236045,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Pentecost island,-15.702834,168.182135,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Santo island,-15.263325,166.913032,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Shepherd islands,-17.074649,168.365189,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Tanna island,-19.505233,169.353938,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Torres islands,-13.244451,166.618161,1000000.0,1000000.0
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu - WORLD VISION",-17.745611,168.318139,Vanuatu,Vanua lava island,-13.835597,167.445095,1000000.0,1000000.0
RED CROSS,Port Vila,Vanuatu,"Port Vila, Vanuatu - RED CROSS",-17.745611,168.318139,Vanuatu,Ambae island,-15.366142,167.814572,1000000.0,1000000.0
RED CROSS,Port Vila,Vanuatu,"Port Vila, Vanuatu - RED CROSS",-17.745611,168.318139,Vanuatu,Ambrym Island,-16.236908,168.157187,1000000.0,1000000.0
RED CROSS,Port Vila,Vanuatu,"Port Vila, Vanuatu - RED CROSS",-17.745611,168.318139,Vanuatu,Aneityum island,-20.195206,169.807476,1000000.0,1000000.0
