Attribute,Mode,gglAddress,Number
FixedAddlTime_Hrs,Truck,DEFAULT,6
FixedAddlTime_Hrs,Air,DEFAULT,28
FixedAddlTime_Hrs,Sea,DEFAULT,26
StretchTimeFactor,Truck,DEFAULT,1
StretchTimeFactor,Air,DEFAULT,1
AirSpeed_km_hr,Air,DEFAULT,200
BoatSpeed_km_hr,Sea,DEFAULT,20
FixedAddlCost_USD,Truck,DEFAULT,2640
FixedAddlCost_USD,Air,DEFAULT,4500
FixedAddlCost_USD,Sea,DEFAULT,133.88
VarCost_USD_ton_km,Truck,DEFAULT,120
VarCost_USD_ton_km,Air,DEFAULT,1.21
VarCost_USD_ton_km,Sea,DEFAULT,0.02
StretchDistanceFactor,Truck,DEFAULT,1
StretchDistanceFactor,Air,DEFAULT,1
StretchDistanceFactor,Sea,DEFAULT,1
TruckRoadKm_per_CrowKm,Truck,DEFAULT,1
TruckKmPerHrOnRoad,Truck,DEFAULT,30
