gglAddressAsciiMapFrom,gglAddressAsciiMapTo
"Brisbane, Australia","Brisbane, Australia"
"Sydney, Australia","Sydney, Australia"
"Auckland, New Zealand","Auckland, New Zealand"
"Noumea, New Caledonia","Noumea, New Caledonia"
"Port Vila, Vanuatu","Port Vila, Vanuatu"
"Suva, Fiji","Suva, Fiji"
"Honiara, Solomon Islands","Honiara, Solomon Islands"
"Nukualofa, Tonga","Nukualofa, Tonga"
"Apia, Samoa","Apia, Samoa"
"Funafuti, Tuvalu","Funafuti, Tuvalu"
"Rarotonga, Cook Islands","Rarotonga, Cook Islands"
"Lae, Papua New Guinea","Lae, Papua New Guinea"
"Pohnpei, Federated States of Micronesia","Pohnpei, Federated States of Micronesia"
"Tarawa, Kiribati","Tarawa, Kiribati"
"Koror, Palau","Koror, Palau"
"Majuro, Marshall Islands","Majuro, Marshall Islands"
"43000 Subang, Selangor, Malaysia","43000 Subang, Selangor, Malaysia"
