Attribute,Mode,gglAddress,Number
FixedAddlTime_Hrs,Truck,DEFAULT,10
FixedAddlTime_Hrs,Air,DEFAULT,2000000
StretchTimeFactor,Truck,DEFAULT,1
StretchTimeFactor,Air,DEFAULT,1
AirSpeed_km_hr,Air,DEFAULT,600
FixedAddlCost_USD,Truck,DEFAULT,2640
FixedAddlCost_USD,Air,DEFAULT,4500
VarCost_USD_ton_km,Truck,DEFAULT,120
VarCost_USD_ton_km,Air,DEFAULT,1.21
StretchDistanceFactor,Truck,DEFAULT,1
StretchDistanceFactor,Air,DEFAULT,1
TruckRoadKm_per_CrowKm,Truck,DEFAULT,1
TruckKmPerHrOnRoad,Truck,DEFAULT,30
FixedAddlTime_Hrs,Air,"Brisbane, Australia",25
FixedAddlTime_Hrs,Air,"Sydney, Australia",25
FixedAddlTime_Hrs,Air,"Auckland, New Zealand",25
FixedAddlTime_Hrs,Air,"Noumea, New Caledonia",2000000
FixedAddlTime_Hrs,Air,"Lae, Papua New Guinea",2000000
FixedAddlTime_Hrs,Air,"Suva, Fiji",2000000
FixedAddlTime_Hrs,Air,"43000 Subang, Selangor, Malaysia",25
