gglCountryAscii,gglAddressAscii,gglLat,gglLong
Oregon,Tillamook County,45.5293478,-123.7052374
Washington,Lewis County,46.6195461,-122.4554639
Washington,King County,47.5480339,-121.98360290000001
Washington,Grays Harbor County,46.995352600000004,-123.70124679999999
Washington,Wahkiakum County,46.3259463,-123.4945592
Washington,Thurston County,46.86457470000001,-122.76959860000001
Washington,Pierce County,47.067587700000004,-122.1295269
Washington,Benton County,46.31663620000001,-119.5021582
Oregon,Clatsop County,46.0210796,-123.76530420000002
Alabama,Clay County,33.279527,-85.84862360000002
Alabama,DeKalb County,34.521139700000006,-85.684578
Alabama,Chilton County,32.944392,-86.6611083
Alabama,Jefferson County,33.4914122,-86.9824288
Alabama,Dallas County,32.2332138,-87.14228949999998
Alabama,Jackson County,34.709038799999995,-86.0121573
Alabama,Randolph County,33.2681523,-85.52002399999998
Alabama,Greene County,32.9718107,-87.9334803
Alabama,Calhoun County,33.7701576,-85.80766
Alabama,Talladega County,33.4231716,-86.13446970000004
Alabama,Coosa County,32.8897772,-86.21969370000002
Alabama,Marshall County,34.3652297,-86.3376761
Alabama,Cherokee County,34.166532200000006,-85.684578
Alabama,Bibb County,32.956279800000004,-87.14228949999998
Alabama,Cullman County,34.2011537,-86.8220341
Alabama,Hale County,32.785910200000004,-87.61863790000002
Georgia,Carroll County,33.5642239,-85.0649071
Alabama,Russell County,32.355249699999995,-85.18940450000002
Georgia,Polk County,34.0132398,-85.14793639999998
Georgia,Henry County,33.4347963,-84.14351359999998
Georgia,Butts County,33.2691443,-83.9532571
Alabama,Cleburne County,33.6261707,-85.52002399999998
Georgia,Pike County,33.0881873,-84.3962535
Georgia,Heard County,33.299040600000005,-85.14793639999998
Mississippi,Alcorn County,34.8984684,-88.59517509999998
Georgia,Dooly County,32.1593447,-83.804868
Georgia,Upson County,32.9047684,-84.31212640000003
Alabama,Tuscaloosa County,33.3227653,-87.460397
Georgia,Dade County,34.910901700000004,-85.47880649999998
Georgia,Monroe County,32.9746846,-83.88970570000002
Georgia,Union County,34.8457601,-83.9744262
Alabama,Etowah County,34.045534100000005,-86.05296039999998
Georgia,Meriwether County,33.0561282,-84.68974949999998
Mississippi,Copiah County,31.9012453,-90.3748354
Georgia,Fulton County,33.803396500000005,-84.3962535
Alabama,Blount County,34.0145152,-86.49965460000001
Georgia,Floyd County,34.2828967,-85.23084140000002
Georgia,Wilcox County,31.961175899999997,-83.46435509999998
Tennessee,Hamilton County,35.1618966,-85.14793639999998
Alabama,Marengo County,32.2459085,-87.77633329999998
Alabama,Walker County,33.8563605,-87.30161319999998
Georgia,Gilmer County,34.6935359,-84.4802606
Georgia,Murray County,34.7928029,-84.7315563
Tennessee,Marion County,35.092851200000005,-85.64348700000002
Mississippi,Forrest County,31.214867699999996,-89.28472510000002
Georgia,Chattooga County,34.46326610000001,-85.31362179999998
Georgia,Gordon County,34.48916989999999,-84.8567932
Georgia,Stewart County,32.1141344,-84.8150781
Alabama,Morgan County,34.4240875,-86.86218269999998
Georgia,Harris County,32.7032697,-84.8567932
Georgia,Newton County,33.55442960000001,-83.8473015
Mississippi,Adams County,31.5305353,-91.2891036
Mississippi,Amite County,31.16838030000001,-90.8294002
Georgia,Catoosa County,34.8981727,-85.14793639999998
Georgia,Pulaski County,32.232644,-83.46435509999998
Alabama,St. Clair County,33.6530112,-86.3376761
Georgia,Macon County,32.3523607,-84.05902900000002
Alabama,Shelby County,33.3039292,-86.6611083
Mississippi,Clarke County,32.077218,-88.71089640000002
Georgia,Cobb County,33.8999297,-84.56414699999998
Georgia,Lee County,31.8128435,-84.14351359999998
Georgia,Talbot County,32.689132199999996,-84.5222189
Georgia,Early County,31.390110600000003,-84.8984775
Mississippi,Covington County,31.673273499999997,-89.5874819
Georgia,Webster County,32.012988899999996,-84.56414699999998
Georgia,Douglas County,33.7290225,-84.7315563
Alabama,Sumter County,32.6155551,-88.24611829999998
Georgia,Baker County,31.2816037,-84.4802606
Mississippi,Coahoma County,34.1960298,-90.6393702
Georgia,Muscogee County,32.479413300000004,-84.8984775
Mississippi,George County,30.8431226,-88.6723578
Georgia,Fannin County,34.8580405,-84.2278796
Georgia,Whitfield County,34.8033566,-84.98175400000002
Mississippi,Harrison County,30.432087,-89.0179332
Mississippi,Jones County,31.53432410000001,-89.1705998
Mississippi,Prentiss County,34.6324369,-88.51785179999996
Mississippi,Lauderdale County,32.4401578,-88.71089640000002
Mississippi,Lincoln County,31.535924800000004,-90.5257823
Mississippi,Jasper County,32.0810429,-89.1705998
Illinois,Champaign County,40.2138865,-88.24611829999998
Mississippi,Kemper County,32.8018452,-88.71089640000002
Mississippi,Madison County,32.672945899999995,-90.03732009999996
Mississippi,Perry County,31.1673115,-89.0179332
Mississippi,Tallahatchie County,33.9302578,-90.18696440000001
Illinois,Livingston County,40.8688604,-88.55653099999998
Mississippi,Lawrence County,31.5369786,-90.0746767
Alabama,Chambers County,32.9028048,-85.35496499999998
Alabama,Washington County,31.3422346,-88.24611829999998
Florida,Santa Rosa County,30.7689907,-86.9824288
Illinois,Iroquois County,40.7740275,-87.697554
Alabama,Butler County,31.6760284,-86.6611083
Alabama,Geneva County,31.0990456,-85.684578
Mississippi,Quitman County,34.286330299999996,-90.2620042
Alabama,Baldwin County,30.6010744,-87.77633329999998
Alabama,Montgomery County,32.2077447,-86.17517590000001
Illinois,McLean County,40.5478429,-88.86469799999998
Mississippi,Wilkinson County,31.1646163,-91.2891036
Alabama,Houston County,31.131868599999997,-85.31362179999998
Alabama,Crenshaw County,31.667187199999997,-86.3376761
Mississippi,Smith County,32.0826588,-89.4742177
Mississippi,Tippah County,34.76880970000001,-88.86469799999998
Alabama,Coffee County,31.475117200000003,-86.0121573
Florida,Gadsden County,30.5562947,-84.64791240000002
Illinois,Vermilion County,40.122469,-87.697554
Alabama,Mobile County,30.608222700000002,-88.24611829999998
Illinois,Edgar County,39.71312229999999,-87.77633329999998
Alabama,Barbour County,31.817289600000002,-85.35496499999998
Illinois,Moultrie County,39.60205429999999,-88.59517509999998
Alabama,Lowndes County,32.221464000000005,-86.6611083
Mississippi,Walthall County,31.12516500000001,-90.1120696
Mississippi,Simpson County,31.901773600000002,-89.9253233
Florida,Holmes County,30.87408060000001,-85.80766
