ItemName,Warehouse(Region),gglAddress,gglCountry,Total
BlanketGen,California,"San Francisco, California",California,17370
BlanketGen,Texas,"Dallas, Texas",Texas,270
BlanketGen,Georgia,"Atlanta, Georgia",Georgia,34808
BlanketGen,Pennsylvania,"Philadelphia, Pennsylvania",Pennsylvania,37549
BlanketGen,Washington D.C.,"Washington D.C., Washington D.C.",Washington D.C.,40000
JerryCanGen,California,"San Francisco, California",California,12630
JerryCanGen,Texas,"Dallas, Texas",Texas,15801
JerryCanGen,Georgia,"Atlanta, Georgia",Georgia,4674
JerryCanGen,Pennsylvania,"Philadelphia, Pennsylvania",Pennsylvania,46308
JerryCanGen,Washington D.C.,"Washington D.C., Washington D.C.",Washington D.C.,40000
KitchenSetGen,California,"San Francisco, California",California,30136000
KitchenSetGen,Texas,"Dallas, Texas",Texas,8116
KitchenSetGen,Georgia,"Atlanta, Georgia",Georgia,21406
KitchenSetGen,Pennsylvania,"Philadelphia, Pennsylvania",Pennsylvania,11100
KitchenSetGen,Washington D.C.,"Washington D.C., Washington D.C.",Washington D.C.,11100
MosquitoNetGen,California,"San Francisco, California",California,17614
MosquitoNetGen,Texas,"Dallas, Texas",Texas,45621
MosquitoNetGen,Georgia,"Atlanta, Georgia",Georgia,37835
MosquitoNetGen,Pennsylvania,"Philadelphia, Pennsylvania",Pennsylvania,28783
MosquitoNetGen,Washington D.C.,"Washington D.C., Washington D.C.",Washington D.C.,28783
ShelterKit,California,"San Francisco, California",California,17961
ShelterKit,Texas,"Dallas, Texas",Texas,36518
ShelterKit,Georgia,"Atlanta, Georgia",Georgia,19940
ShelterKit,Pennsylvania,"Philadelphia, Pennsylvania",Pennsylvania,2475
ShelterKit,Washington D.C.,"Washington D.C., Washington D.C.",Washington D.C.,2475
SleepingMats,California,"San Francisco, California",California,29874
SleepingMats,Texas,"Dallas, Texas",Texas,39910
SleepingMats,Georgia,"Atlanta, Georgia",Georgia,33790
SleepingMats,Pennsylvania,"Philadelphia, Pennsylvania",Pennsylvania,32047
SleepingMats,Washington D.C.,"Washington D.C., Washington D.C.",Washington D.C.,32047
Tarpaulin4x6,California,"San Francisco, California",California,16412
Tarpaulin4x6,Texas,"Dallas, Texas",Texas,47992
Tarpaulin4x6,Georgia,"Atlanta, Georgia",Georgia,22843
Tarpaulin4x6,Pennsylvania,"Philadelphia, Pennsylvania",Pennsylvania,23256
Tarpaulin4x6,Washington D.C.,"Washington D.C., Washington D.C.",Washington D.C.,23256
Tent,California,"San Francisco, California",California,43361
Tent,Texas,"Dallas, Texas",Texas,20583
Tent,Georgia,"Atlanta, Georgia",Georgia,9379
Tent,Pennsylvania,"Philadelphia, Pennsylvania",Pennsylvania,39179
Tent,Washington D.C.,"Washington D.C., Washington D.C.",Washington D.C.,39179
