Day,Month,Year,gglCountry,gglAddress,Type,SubType,TotAffected,DisasterID
6,1,1990,Oregon,Salem,Flood,SEVERE STORMS & FLOODING,258981.0,1990-1000
6,1,1990,Washington,Olympia,Flood,SEVERE STORMS & FLOODING,454579.0,1990-1001
3,2,1990,Alabama,Montgomery,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",1242731.0,1990-1002
10,2,1990,Georgia,Atlanta,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",2518790.0,1990-1003
24,1,1990,Mississippi,Jackson,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",771497.0,1990-1004
15,2,1990,Tennessee,Nashville,Flood,SEVERE STORMS & FLOODING,1649987.0,1990-1005
14,2,1990,Illinois,Springfield,Severe Ice Storm,SEVERE ICE STORM,3335964.0,1990-1006
15,3,1990,Alabama,Montgomery,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",1242731.0,1990-1007
16,3,1990,Florida,Tallahassee,Flood,SEVERE STORMS & FLOODING,4888341.0,1990-1008
15,4,1990,Texas,Austin,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",6537846.0,1990-1009
1,5,1990,Arkansas,Little Rock,Flood,SEVERE STORMS & FLOODING,758139.0,1990-1010
14,4,1990,Oklahoma,Oklahoma City,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",975351.0,1990-1011
18,5,1990,Iowa,Des Moines,Flood,SEVERE STORMS & FLOODING,792052.0,1990-1012
15,5,1990,Missouri,Jefferson City,Flood,SEVERE STORMS & FLOODING,1557121.0,1990-1013
15,5,1990,Indiana,Indianapolis,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",1685789.0,1990-1014
28,5,1990,Ohio,Columbus,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",2999491.0,1990-1015
15,5,1990,Illinois,Springfield,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",3335964.0,1990-1016
10,6,1990,Nebraska,Lincoln,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",474849.0,1990-1017
26,6,1990,California,Sacramento,Fire,FIRES,9686029.0,1990-1018
22,6,1990,Wisconsin,Madison,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",1478616.0,1990-1019
28,8,1990,Illinois,Springfield,Tornado,TORNADOES,3335964.0,1990-1020
7,8,1990,New Hampshire,Concord,Flood,SEVERE STORMS & FLOODING,342282.0,1990-1021
4,7,1990,Vermont,Montpelier,Flood,SEVERE STORMS & FLOODING,162693.0,1990-1022
25,7,1990,Iowa,Des Moines,Flood,SEVERE STORMS & FLOODING,792052.0,1990-1023
17,8,1990,Wisconsin,Madison,Flood,SEVERE STORMS & FLOODING,1478616.0,1990-1024
11,10,1990,Georgia,Atlanta,Flood,SEVERE STORMS & FLOODING,2518790.0,1990-1025
11,10,1990,South Carolina,Columbia,Flood,SEVERE STORMS & FLOODING,1202595.0,1990-1026
8,7,1990,Arizona,Phoenix,Flood,SEVERE STORMS & FLOODING,1661924.0,1990-1027
19,12,1990,Tennessee,Nashville,Flood,SEVERE STORMS & FLOODING,1649987.0,1990-1028
9,11,1990,Washington,Olympia,Flood,SEVERE STORMS & FLOODING,1748380.0,1990-1029
19,12,1990,Mississippi,Jackson,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",771497.0,1990-1030
27,11,1990,Indiana,Indianapolis,Flood,SEVERE STORMS & FLOODING,1685789.0,1990-1031
21,12,1990,Alabama,Montgomery,Flood,SEVERE STORMS & FLOODING,1242731.0,1990-1032
28,12,1990,Indiana,Indianapolis,Flood,SEVERE STORMS & FLOODING,1685789.0,1990-1033
6,12,1990,Kentucky,Frankfort,Flood,SEVERE STORMS & FLOODING,1128235.0,1990-1034
19,12,1990,California,Sacramento,Freezing,SEVERE FREEZE,9686029.0,1990-1035
