Day,Month,Year,gglCountry,gglAddress,Type,SubType,TotAffected,DisasterID
6,1,1990,Oregon,Tillamook County,Flood,SEVERE STORMS & FLOODING,6565.0,
6,1,1990,Washington,Lewis County,Flood,SEVERE STORMS & FLOODING,4256.72,
6,1,1990,Washington,King County,Flood,SEVERE STORMS & FLOODING,502124.74,
6,1,1990,Washington,Grays Harbor County,Flood,SEVERE STORMS & FLOODING,18927.22,
6,1,1990,Washington,Wahkiakum County,Flood,SEVERE STORMS & FLOODING,1034.28,
6,1,1990,Washington,Thurston County,Flood,SEVERE STORMS & FLOODING,65588.64,
6,1,1990,Washington,Pierce County,Flood,SEVERE STORMS & FLOODING,10664.94,
6,1,1990,Washington,Benton County,Flood,SEVERE STORMS & FLOODING,45546.02,
6,1,1990,Oregon,Clatsop County,Flood,SEVERE STORMS & FLOODING,9630.14,
3,2,1990,Alabama,Clay County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",2440.36,
3,2,1990,Alabama,DeKalb County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",4867.980000000001,
3,2,1990,Alabama,Chilton County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",11347.18,
3,2,1990,Alabama,Jefferson County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",21758.36,
3,2,1990,Alabama,Dallas County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",615716.14,
3,2,1990,Alabama,Jackson County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",5316.74,
3,2,1990,Alabama,Randolph County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",7645.3,
3,2,1990,Alabama,Greene County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",4784.78,
3,2,1990,Alabama,Calhoun County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",1983.02,
3,2,1990,Alabama,Talladega County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",21395.66,
3,2,1990,Alabama,Coosa County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",3000.1400000000012,
3,2,1990,Alabama,Marshall County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",8607.82,
3,2,1990,Alabama,Cherokee County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",13219.7,
3,2,1990,Alabama,Bibb County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",40442.22,
3,2,1990,Alabama,Cullman County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",20905.56,
3,2,1990,Alabama,Hale County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",9430.98,
10,2,1990,Georgia,Carroll County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",7810.92,
3,2,1990,Alabama,Russell County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",7513.22,
10,2,1990,Georgia,Polk County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",11493.3,
10,2,1990,Georgia,Henry County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",14079.26,
10,2,1990,Georgia,Butts County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",6150.3,
3,2,1990,Alabama,Cleburne County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",6752.2,
10,2,1990,Georgia,Pike County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",14915.94,
10,2,1990,Georgia,Heard County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",3076.84,
24,1,1990,Mississippi,Alcorn County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",9634.82,
10,2,1990,Georgia,Dooly County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",3878.68,
10,2,1990,Georgia,Upson County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",7059.7800000000025,
3,2,1990,Alabama,Tuscaloosa County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",50610.56000000001,
10,2,1990,Georgia,Dade County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",2049.58,
10,2,1990,Georgia,Monroe County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",11614.98,
10,2,1990,Georgia,Union County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",4968.34,
3,2,1990,Alabama,Etowah County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",27151.8,
10,2,1990,Georgia,Meriwether County,Severe Storm(s),"SEVERE STORMS, TORNAODES & FLOODING",5717.92,
24,1,1990,Mississippi,Copiah County,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",7656.7400000000025,
