Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,distance_km,drivingTime_hrs
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Oregon,Tillamook County,45.5293478,-123.7052374,1124,11.58472222
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Lewis County,46.6195461,-122.4554639,1186,11.55972222
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,King County,47.5480339,-121.9836029,1316,12.76166667
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Grays Harbor County,46.9953526,-123.7012468,1242,12.14611111
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Wahkiakum County,46.3259463,-123.4945592,1158,11.33027778
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Thurston County,46.8645747,-122.7695986,1195,11.52555556
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Pierce County,47.0675877,-122.1295269,1261,12.69583333
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Benton County,46.3166362,-119.5021582,1176,12.115
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Oregon,Clatsop County,46.0210796,-123.7653042,1134,11.45861111
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Clay County,33.279527,-85.8486236,3870,35.51638889
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,DeKalb County,34.5211397,-85.684578,3821,35.50555556
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Chilton County,32.944392,-86.6611083,3818,34.88888889
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Jefferson County,33.4914122,-86.9824288,3744,34.32361111
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Dallas County,32.2332138,-87.1422895,3779,35.04805556
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Jackson County,34.7090388,-86.0121573,3781,35.03694444
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Randolph County,33.2681523,-85.520024,3903,35.73194444
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Greene County,32.9718107,-87.9334803,3688,33.81861111
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Calhoun County,33.7701576,-85.80766,3862,35.39861111
