Contract,Capacity,Fixed Time to Warehouse,Fixed Cost,Variable Cost (mile),Target Depot City,,,,,,,,,,,,
SF Carrier 01 ID,6,4,,3.9,"San Francisco, California",,,,,24,,,23.4,,,,
SF Carrier 02 CO,10,8,,3.4,"San Francisco, California",,,,,80,,,34,,,,
SF Carrier 03 CO,20,10,,3.6,"San Francisco, California",,,,,200,,,72,,,,
SF Carrier 04 CO,15,11,,3.4,"San Francisco, California",,,,,165,,,51,,,,
SF Carrier 05 CO,9,13,,3.5,"San Francisco, California",,,,,117,,,31.5,,,,
SF Carrier 06 CO,16,15,,3.1,"San Francisco, California",,,,,240,,,49.6,,,,
SF Carrier 07 CO,18,17,,3,"San Francisco, California",,,,,306,12.04255319,,54,3.356382979,,,94
SF Carrier 08 SM,1000000,18,,9.2,"San Francisco, California",,,,,,,,,,,,
DA Carrier 01 ID,10,4,,2.7,"Dallas, Texas",,,,,40,,,27,,,,
DA Carrier 02 CO,8,7,,2.6,"Dallas, Texas",,,,,56,,,20.8,,,,
DA Carrier 03 CO,25,8,,2.4,"Dallas, Texas",,,,,200,,,60,,,,
DA Carrier 04 CO,13,9,,2.3,"Dallas, Texas",,,,,117,,,29.9,,,,
DA Carrier 05 CO,10,20,,2.4,"Dallas, Texas",,,,,200,,,24,,,,
DA Carrier 06 CO,16,22,,2.2,"Dallas, Texas",,,,,352,,,35.2,,,,
DA Carrier 07 CO,10,24,,2.3,"Dallas, Texas",,,,,240,13.09782609,,23,2.390217391,,,92
DA Carrier 08 SM,1000000,25,,6.9,"Dallas, Texas",,,,,,,,,,,,
PH Carrier 01 ID,12,4,,3.6,"Philadelphia, Pennsylvania",,,,,48,,,43.2,,,,
PH Carrier 02 CO,15,6,,3.8,"Philadelphia, Pennsylvania",,,,,90,,,57,,,,
PH Carrier 03 CO,3,9,,3.5,"Philadelphia, Pennsylvania",,,,,27,,,10.5,,,,
PH Carrier 04 SM,16,12,,3.6,"Philadelphia, Pennsylvania",,,,,192,,,57.6,,,,
PH Carrier 05 CO,5,15,,3.4,"Philadelphia, Pennsylvania",,,,,75,,,17,,,,
PH Carrier 06 CO,6,19,,3.5,"Philadelphia, Pennsylvania",,,,,114,,,21,,,,
PH Carrier 07 CO,24,29,,3.1,"Philadelphia, Pennsylvania",,,,,696,15.33333333,,74.4,3.465432099,,,81
PH Carrier 08 SM,1000000,30,,9.1,"Philadelphia, Pennsylvania",,,,,,,,,,,,
AT Carrier 01 ID,13,4,,3.9,"Atlanta, Georgia",,,,,52,,,50.7,,,,
AT Carrier 02 CO,16,5,,3.4,"Atlanta, Georgia",,,,,80,,,54.4,,,,
AT Carrier 03 CO,19,7,,3.2,"Atlanta, Georgia",,,,,133,,,60.8,,,,
AT Carrier 04 CO,5,9,,3.5,"Atlanta, Georgia",,,,,45,,,17.5,,,,
AT Carrier 05 CO,16,15,,3.2,"Atlanta, Georgia",,,,,240,,,51.2,,,,
AT Carrier 06 CO,2,18,,3.9,"Atlanta, Georgia",,,,,36,,,7.8,,,,
AT Carrier 07 CO,3,20,,3,"Atlanta, Georgia",,,,,60,8.72972973,,9,3.397297297,,,74
AT Carrier 08 SM,1000000,21,,7.9,"Atlanta, Georgia",,,,,,,,,,,,
WA Carrier 01 ID,6,4,,3.1,"Washington D.C., Washington D.C.",,,,,24,,,18.6,,,,
WA Carrier 02 CO,16,7,,2.9,"Washington D.C., Washington D.C.",,,,,112,,,46.4,,,,
WA Carrier 03 CO,5,9,,2.7,"Washington D.C., Washington D.C.",,,,,45,,,13.5,,,,
WA Carrier 04 CO,12,10,,3.2,"Washington D.C., Washington D.C.",,,,,120,,,38.4,,,,
WA Carrier 05 CO,6,14,,2.9,"Washington D.C., Washington D.C.",,,,,84,,,17.4,,,,
WA Carrier 06 CO,9,15,,2.8,"Washington D.C., Washington D.C.",,,,,135,,,25.2,,,,
WA Carrier 07 CO,15,17,,2.4,"Washington D.C., Washington D.C.",,,,,255,11.23188406,,36,2.833333333,,,69
WA Carrier 08 SM,1000000,18,,9.1,"Washington D.C., Washington D.C.",,,,,,,,,,,,
