Contract,Capacity,Fixed Time to Warehouse,Fixed Cost,Variable Cost (mile),Target Depot City
SF Carrier 01 ID,10,4,,0.001618359,"San Francisco, California"
SF Carrier 02 CO,30,8,,0.00149387,"San Francisco, California"
SF Carrier 03 CO,20,13,,0.001410877,"San Francisco, California"
SF Carrier 04 SM,100000,26,,0.003817668,"San Francisco, California"
DA Carrier 01 ID,10,4,,0.001244892,"Dallas, Texas"
DA Carrier 02 CO,30,9,,0.001161899,"Dallas, Texas"
DA Carrier 03 CO,40,18,,0.001120403,"Dallas, Texas"
DA Carrier 04 SM,100000,26,,0.002863251,"Dallas, Texas"
PH Carrier 01 ID,10,4,,0.001535367,"Philadelphia, Pennsylvania"
PH Carrier 02 CO,30,9,,0.001452374,"Philadelphia, Pennsylvania"
PH Carrier 03 CO,20,19,,0.001410877,"Philadelphia, Pennsylvania"
PH Carrier 04 SM,100000,26,,0.003776172,"Philadelphia, Pennsylvania"
AT Carrier 01 ID,10,4,,0.001203395,"Atlanta, Georgia"
AT Carrier 02 CO,30,12,,0.001161899,"Atlanta, Georgia"
AT Carrier 03 CO,40,17,,0.001120403,"Atlanta, Georgia"
AT Carrier 04 SM,100000,26,,0.003278215,"Atlanta, Georgia"
WA Carrier 01 ID,20,4,,0.001535367,"Washington D.C., Washington D.C."
WA Carrier 02 CO,30,9,,0.00149387,"Washington D.C., Washington D.C."
WA Carrier 03 CO,50,16,,0.001369381,"Washington D.C., Washington D.C."
WA Carrier 04 SM,100000,26,,0.003776172,"Washington D.C., Washington D.C."
