Contract,Capacity,Fixed Time to Warehouse,Fixed Cost,Variable Cost (mile),Target Depot City
SF Carrier 01 ID,6,4,,0.000161836,"San Francisco, California"
SF Carrier 02 CO,9,8,,0.000141088,"San Francisco, California"
SF Carrier 03 CO,12,10,,0.000149387,"San Francisco, California"
SF Carrier 04 CO,8,11,,0.000141088,"San Francisco, California"
SF Carrier 05 CO,9,13,,0.000145237,"San Francisco, California"
SF Carrier 06 CO,12,15,,0.000128639,"San Francisco, California"
SF Carrier 07 CO,11,17,,0.000124489,"San Francisco, California"
SF Carrier 08 SM,100000,18,,0.000381767,"San Francisco, California"
DA Carrier 01 ID,10,4,,0.00011204,"Dallas, Texas"
DA Carrier 02 CO,15,7,,0.000107891,"Dallas, Texas"
DA Carrier 03 CO,25,8,,0.000099591,"Dallas, Texas"
DA Carrier 04 CO,15,9,,0.000095442,"Dallas, Texas"
DA Carrier 05 CO,5,20,,0.000099591,"Dallas, Texas"
DA Carrier 06 CO,9,22,,0.000091292,"Dallas, Texas"
DA Carrier 07 CO,8,24,,0.000095442,"Dallas, Texas"
DA Carrier 08 SM,100000,25,,0.000286325,"Dallas, Texas"
PH Carrier 01 ID,12,4,,0.000149387,"Philadelphia, Pennsylvania"
PH Carrier 02 CO,7,6,,0.000157686,"Philadelphia, Pennsylvania"
PH Carrier 03 CO,3,9,,0.000145237,"Philadelphia, Pennsylvania"
PH Carrier 04 SM,15,12,,0.000149387,"Philadelphia, Pennsylvania"
PH Carrier 05 CO,17,15,,0.000141088,"Philadelphia, Pennsylvania"
PH Carrier 06 CO,20,19,,0.000145237,"Philadelphia, Pennsylvania"
PH Carrier 07 CO,24,22,,0.000128639,"Philadelphia, Pennsylvania"
PH Carrier 08 SM,100000,23,,0.000377617,"Philadelphia, Pennsylvania"
AT Carrier 01 ID,13,4,,0.000161836,"Atlanta, Georgia"
AT Carrier 02 CO,16,5,,0.000141088,"Atlanta, Georgia"
AT Carrier 03 CO,19,7,,0.000132788,"Atlanta, Georgia"
AT Carrier 04 CO,5,9,,0.000145237,"Atlanta, Georgia"
AT Carrier 05 CO,16,15,,0.000132788,"Atlanta, Georgia"
AT Carrier 06 CO,2,18,,0.000161836,"Atlanta, Georgia"
AT Carrier 07 CO,3,20,,0.000124489,"Atlanta, Georgia"
AT Carrier 08 SM,100000,21,,0.000327822,"Atlanta, Georgia"
WA Carrier 01 ID,6,4,,0.000128639,"Washington D.C., Washington D.C."
WA Carrier 02 CO,16,7,,0.000132788,"Washington D.C., Washington D.C."
WA Carrier 03 CO,5,9,,0.000128639,"Washington D.C., Washington D.C."
WA Carrier 04 CO,12,10,,0.000132788,"Washington D.C., Washington D.C."
WA Carrier 05 CO,6,14,,0.00012034,"Washington D.C., Washington D.C."
WA Carrier 06 CO,9,15,,0.00011619,"Washington D.C., Washington D.C."
WA Carrier 07 CO,15,17,,0.00011204,"Washington D.C., Washington D.C."
WA Carrier 08 SM,100000,18,,0.000377617,"Washington D.C., Washington D.C."
