Contract,Capacity,Fixed Time to Warehouse,Fixed Cost,Variable Cost (mile),Target Depot City
SF Carrier 01 ID,10,4,,0.000161836,"San Francisco, California"
SF Carrier 02 CO,17,8,,0.000145237,"San Francisco, California"
SF Carrier 03 CO,16,9,,0.000153537,"San Francisco, California"
SF Carrier 04 CO,3,11,,0.000141088,"San Francisco, California"
SF Carrier 05 CO,7,13,,0.000145237,"San Francisco, California"
SF Carrier 06 CO,4,15,,0.000124489,"San Francisco, California"
SF Carrier 07 CO,3,17,,0.000141088,"San Francisco, California"
SF Carrier 08 SM,100000,26,,0.000381767,"San Francisco, California"
DA Carrier 01 ID,10,4,,0.000132788,"Dallas, Texas"
DA Carrier 02 CO,15,9,,0.00011204,"Dallas, Texas"
DA Carrier 03 CO,21,10,,0.000124489,"Dallas, Texas"
DA Carrier 04 CO,14,15,,0.00011204,"Dallas, Texas"
DA Carrier 05 CO,5,20,,0.000107891,"Dallas, Texas"
DA Carrier 06 CO,7,22,,0.000103741,"Dallas, Texas"
DA Carrier 07 CO,8,24,,9.95913E-05,"Dallas, Texas"
DA Carrier 08 SM,100000,26,,0.000286325,"Dallas, Texas"
PH Carrier 01 ID,8,4,,0.000149387,"Philadelphia, Pennsylvania"
PH Carrier 02 CO,12,9,,0.000157686,"Philadelphia, Pennsylvania"
PH Carrier 03 CO,10,11,,0.000145237,"Philadelphia, Pennsylvania"
PH Carrier 04 SM,10,14,,0.000149387,"Philadelphia, Pennsylvania"
PH Carrier 05 CO,8,15,,0.000141088,"Philadelphia, Pennsylvania"
PH Carrier 06 CO,7,16,,0.000145237,"Philadelphia, Pennsylvania"
PH Carrier 07 CO,5,20,,0.000128639,"Philadelphia, Pennsylvania"
PH Carrier 08 SM,100000,26,,0.000377617,"Philadelphia, Pennsylvania"
AT Carrier 01 ID,13,4,,0.000132788,"Atlanta, Georgia"
AT Carrier 02 CO,16,10,,0.000124489,"Atlanta, Georgia"
AT Carrier 03 CO,19,15,,0.000107891,"Atlanta, Georgia"
AT Carrier 04 CO,5,16,,0.00011204,"Atlanta, Georgia"
AT Carrier 05 CO,16,18,,9.12921E-05,"Atlanta, Georgia"
AT Carrier 06 CO,5,19,,0.00012034,"Atlanta, Georgia"
AT Carrier 07 CO,6,25,,9.54417E-05,"Atlanta, Georgia"
AT Carrier 08 SM,100000,26,,0.000327822,"Atlanta, Georgia"
WA Carrier 01 ID,15,4,,0.000157686,"Washington D.C., Washington D.C."
WA Carrier 02 CO,16,8,,0.000149387,"Washington D.C., Washington D.C."
WA Carrier 03 CO,12,10,,0.000153537,"Washington D.C., Washington D.C."
WA Carrier 04 CO,15,13,,0.000149387,"Washington D.C., Washington D.C."
WA Carrier 05 CO,15,14,,0.000132788,"Washington D.C., Washington D.C."
WA Carrier 06 CO,12,16,,0.000141088,"Washington D.C., Washington D.C."
WA Carrier 07 CO,15,19,,0.000136938,"Washington D.C., Washington D.C."
WA Carrier 08 SM,100000,26,,0.000377617,"Washington D.C., Washington D.C."
