myDescription,careAboutMonthDemand_Beta_01,t_month_Disaster,numMonthsToAvg,setScenarioProbabilitiesTo1OverN_Flag,minDisasterYear,maxDisasterYear,minYearSubset,maxYearSubset,truckDistanceMethod,expandWhichWarehousesCarryItem_01,maxDrivingTimeCutAbove_Hrs,minTimeRequiredToRespond,numDisasters,n_itemIter,initialInventorySum,objCostType,initialSuppliesVarFlag,disasterID,warehouseID,disasterLocation,transMode,numUnitsMoved,timeHours,costPerTon,distKm
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1987-0048,"Majuro, New Caledonia","Avarua District, Cook Islands",Air,160.0,25.810639327770126,8718.524151961112,3486.383596662075
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2012-0024,"Majuro, New Caledonia","Suva, Fiji",Air,910.2,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1992-0050,"Majuro, New Caledonia","Port Vila, Vanuatu",Air,228.0,20.902781527673387,5155.419389090879,541.668916604032
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1983-0057,"Majuro, New Caledonia","Suva, Fiji",Air,2224.4,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1997-0039,"Majuro, New Caledonia","Suva, Fiji",Air,698.0,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1982-0044,"Majuro, New Caledonia","Honiara, Solomon Islands",Air,4891.6,22.64364969524606,6419.289678748641,1586.1898171476373
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1990-0121,"Majuro, New Caledonia","Suva, Fiji",Air,1198.0,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2007-0108,"Majuro, New Caledonia","Suva, Fiji",Air,178.0,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1986-0142,"Majuro, New Caledonia","Mata'utu, Wallis and Futuna",Air,898.0,23.488410644097268,7032.586127614616,2093.0463864583603
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2009-0200,"Auckland, New Zealand","Avarua District, Cook Islands",Air,238.0,25.02152655109424,8145.628276094417,3012.915930656543
