myDescription,careAboutMonthDemand_Beta_01,t_month_Disaster,numMonthsToAvg,setScenarioProbabilitiesTo1OverN_Flag,minDisasterYear,maxDisasterYear,minYearSubset,maxYearSubset,truckDistanceMethod,expandWhichWarehousesCarryItem_01,maxDrivingTimeCutAbove_Hrs,minTimeRequiredToRespond,numDisasters,n_itemIter,initialInventorySum,objCostType,initialSuppliesVarFlag,myFracServed,myFractionOfDisastersUsingDummy,myItemDemandMetWeighted,myWeightedDemand,myPeopleServedPerItemShipped,myPeopleServedPerItemAll,bigMCostDummy,objVal,objValPerUnitShipped,dualTotInv,dualTotInvAdj,compareObjVal_Cost,compareObjVal_Time,compareObjVal_pureKM
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Cost,Optimal,0.6460704726296046,0.14492753623188406,2209.4898550724597,3419.8898550724575,4.999999999773707,4.999999999853799,50,48667.05377979326,22.026375756314394,-1.0477270646485228,6.19864974694568,48667.05377979331,37060.71597718581,2074584.9349486018
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Cost,Actual,0.6770897782763071,0.15942028985507245,2315.572463768113,3419.88985507246,4.999999999784072,4.999999999853795,50,70957.01124915507,30.643399140540367,,,70957.01124915505,52939.11496862573,4320057.359130368
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Time,Optimal,0.9228142782530185,0.036231884057971016,3155.9231884057936,3419.88985507246,4.9999999998415685,4.999999999853795,50,75799.27194198451,24.01809784789867,-1.0628440123385157,0.7487501905600351,106372.06693201297,75799.27194198451,7458678.11953794
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Time,Actual,0.8273615897210489,0.057971014492753624,2829.4855072463747,3419.8898550724607,4.999999999823287,4.999999999853794,50,72844.41046050725,25.744754751836204,,,108138.66866729403,72844.41046050731,8554539.002085412
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Cost,Optimal,0.999999999898937,0.0,989.4807052356911,989.4807052356911,19.491062226885003,19.491062226885003,50,3412.41609799745,3.448693925607932,0.0,0.0,3412.4160979974527,10205.452477588287,77958.20116880372
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Cost,Actual,0.999999999898937,0.0,989.4807052356915,989.4807052356915,19.491062226884992,19.491062226884992,50,6103.30578660394,6.168190803208569,,,6103.305786603943,18849.04747760323,1176984.2160944187
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Time,Optimal,0.999999999898937,0.0,989.4807052356911,989.4807052356911,19.491062226885003,19.491062226885003,50,10205.45247758829,10.313947935069628,0.0,0.0,3412.4160979974527,10205.452477588287,77958.20116880372
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Time,Actual,0.999999999898937,0.0,989.4807052356915,989.4807052356915,19.491062226884992,19.491062226884992,50,18849.04747760324,19.049434087962844,,,6103.305786603943,18849.04747760323,1176984.2160944187
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,ShelterKit,20895,Cost,Optimal,0.3733673938029353,0.5,1276.8753623188386,3419.8898550724584,4.999999999608419,4.999999999853797,50,37080.46052173909,29.03999999772571,-0.7594202898550713,24.240579710144928,37080.46052173908,12768.753623188388,32639.9639159938
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,ShelterKit,20895,Cost,Actual,0.1636445618168516,0.5579710144927537,559.646376811593,3419.889855072458,4.999999999106584,4.999999999853798,50,16469.299478260855,29.42804627655528,,,16469.29947826085,5596.463768115936,9977.356714817468
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,ShelterKit,20895,Time,Optimal,0.6983893031353711,0.07971014492753623,2388.4144927536163,3419.8898550724557,4.9999999997906635,4.999999999853801,50,55965.42912430034,23.43204217348149,-1.7308948176657315,2.25461242871108,164103.2324214454,55965.42912430035,4640769.585007995
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,ShelterKit,20895,Time,Actual,0.6618337568098357,0.08695652173913043,2263.398550724632,3419.889855072457,4.999999999779099,4.9999999998538,50,56899.37701069223,25.138912009094412,,,170355.9757204315,56899.37701069215,5235442.693564926
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tarpaulin4x6,110646,Cost,Optimal,0.870741239216942,0.043478260869565216,5955.6782608695585,6839.7797101449205,2.4999999999580225,2.4999999999634475,50,142387.01389499457,23.907774674150144,-0.9908035117285655,1.1831095317496954,142387.0138949945,130767.80722356512,9679849.813385472
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tarpaulin4x6,110646,Cost,Actual,0.8280279812263776,0.057971014492753624,5663.528985507229,6839.779710144908,2.4999999999558624,2.4999999999634523,50,153875.57794421396,27.169557767826245,,,153875.57794421387,139365.05952256412,11687339.790394723
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tarpaulin4x6,110646,Time,Optimal,0.9837536084584725,0.007246376811594203,6728.6579710144815,6839.779710144916,2.4999999999628453,2.4999999999634492,50,157915.701796982,23.469123036852192,-0.7843258100962083,-0.42200696951649813,201993.43655131152,157915.70179698194,19519114.63892356
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tarpaulin4x6,110646,Time,Actual,0.9988028260786185,0.007246376811594203,6831.591304347807,6839.779710144907,2.4999999999634084,2.499999999963453,50,185695.33825793257,27.18185704947439,,,227519.18035902607,185695.33825793248,21964572.249007102
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,SleepingMats,52585,Cost,Optimal,0.5568117288260475,0.09420289855072464,9521.173913043463,17099.44927536229,0.9999999999894974,0.9999999999941518,50,102888.49861618532,10.80628287591232,-3.687264620067126,1.0228803074691064,102888.49861618537,277430.2619480486,23640548.473177046
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,SleepingMats,52585,Cost,Actual,0.5438258881091577,0.09420289855072464,9299.123188405792,17099.449275362327,0.9999999999892456,0.9999999999941497,50,105379.7834365785,11.332227920889732,,,105379.78343657844,273471.4237500704,26164299.875368122
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,SleepingMats,52585,Time,Optimal,0.46586041418130714,0.10144927536231885,7965.9565217391155,17099.44927536229,0.9999999999874469,0.9999999999941518,50,179815.62049160743,22.573010535349127,-2.129252780208147,2.9432109879077952,67723.08861718129,179815.62049160743,13611857.12795152
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,SleepingMats,52585,Time,Actual,0.5438258881091577,0.09420289855072464,9299.123188405792,17099.449275362327,0.9999999999892456,0.9999999999941497,50,273471.4237500706,29.408302073909045,,,105379.78343657844,273471.4237500704,26164299.875368122
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,JerryCanGen,143576,Cost,Optimal,0.9999999999853797,0.0,6839.779710144915,6839.779710144915,2.49999999996345,2.49999999996345,50,7049.513562060723,1.0306638313952803,-0.031144484418557827,-0.031144484418557827,7049.513562060729,147771.09010326277,12680622.261985036
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,JerryCanGen,143576,Cost,Actual,0.9941963551524248,0.007246376811594203,6800.084057971005,6839.779710144918,2.4999999999632356,2.4999999999634492,50,9133.336175772703,1.3431210699421232,,,9133.3361757727,166853.0548760177,22248108.667933714
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,JerryCanGen,143576,Time,Optimal,0.9999999999853797,0.0,6839.7797101449105,6839.7797101449105,2.499999999963452,2.499999999963452,50,143832.12068282533,21.028765073732934,-0.6347603882213324,-0.6347603882213324,7777.743833561922,143832.12068282522,16966510.042842675
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,JerryCanGen,143576,Time,Actual,0.9941963551524248,0.007246376811594203,6800.084057971005,6839.779710144918,2.4999999999632356,2.4999999999634492,50,166853.0548760177,24.536910639800134,,,9133.3361757727,166853.0548760177,22248108.667933714
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,39,MosquitoNetGen,106266,Cost,Optimal,0.9999999999838521,0.0,6192.769230769228,6192.769230769228,2.4999999999596305,2.4999999999596305,50,13339.33424205754,2.1540176526463606,-0.19509623535368856,-0.19509623535368856,13339.334242057535,97457.73163938434,9308610.401398638
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,39,MosquitoNetGen,106266,Cost,Actual,0.9999999999838521,0.0,6192.769230769229,6192.769230769229,2.49999999995963,2.49999999995963,50,20510.453679036305,3.312000320760769,,,20510.453679036316,160833.22926782156,17579966.171947446
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,39,MosquitoNetGen,106266,Time,Optimal,0.9999999999838521,0.0,6192.769230769228,6192.769230769228,2.4999999999596305,2.4999999999596305,50,97168.87453755917,15.690698444437333,-1.3357813809201646,-1.3357813809201646,13355.01199001631,97168.87453755917,9379588.040969914
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,39,MosquitoNetGen,106266,Time,Actual,0.9999999999838521,0.0,6192.769230769229,6192.769230769229,2.49999999995963,2.49999999995963,50,160833.22926782144,25.97113234352616,,,20510.453679036316,160833.22926782156,17579966.171947446
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tent,3927,Cost,Optimal,0.0,1.0,0.0,3419.8898550724584,0.0,4.999999999853797,50,0.0,0.0,0.0,50.0,0,0,0
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tent,3927,Cost,Actual,0.0,1.0,0.0,3419.8898550724584,0.0,4.999999999853797,50,0.0,0.0,,,0,0,0
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tent,3927,Time,Optimal,0.31623867875148953,0.15942028985507245,1081.5014492753612,3419.889855072459,4.999999999537673,4.999999999853797,50,34749.91484806156,32.13117732586668,-5.132626153650458,2.8383883391031643,680046.2177265257,34749.91484806155,5886523.816269587
