myDescription,careAboutMonthDemand_Beta_01,t_month_Disaster,numMonthsToAvg,setScenarioProbabilitiesTo1OverN_Flag,minDisasterYear,maxDisasterYear,minYearSubset,maxYearSubset,truckDistanceMethod,expandWhichWarehousesCarryItem_01,maxDrivingTimeCutAbove_Hrs,minTimeRequiredToRespond,numDisasters,n_itemIter,initialInventorySum,objCostType,initialSuppliesVarFlag,myFracServed,myFractionOfDisastersUsingDummy,myItemDemandMetWeighted,myWeightedDemand,myPeopleServedPerItemShipped,myPeopleServedPerItemAll,bigMCostDummy,objVal,objValPerUnitShipped,dualTotInv,dualTotInvAdj,compareObjVal_Cost,compareObjVal_Time,compareObjVal_pureKM
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Cost,Optimal,0.6001634089234968,0.15217391304347827,2052.492753623187,3419.88985507246,4.999999999756392,4.999999999853795,50,41698.147154025944,20.315855965087437,-1.1007489486190396,6.507946703554874,41698.147154025995,31630.617134298678,1552404.8578196336
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Cost,Actual,0.6770897782763073,0.15942028985507245,2315.5724637681146,3419.8898550724616,4.999999999784069,4.9999999998537925,50,70957.01124915505,30.64339914054034,,,70957.01124915507,52939.11496862572,4320057.359130369
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Time,Optimal,0.9088173023359053,0.036231884057971016,3108.0550724637656,3419.8898550724607,4.999999999839127,4.999999999853794,50,74468.2436891586,23.959756809499325,-1.0628440123385157,0.7487501905600351,105225.1685046895,74468.24368915863,7436689.376372032
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Time,Actual,0.8273615897210489,0.057971014492753624,2829.4855072463743,3419.8898550724603,4.999999999823288,4.999999999853794,50,72844.41046050731,25.74475475183623,,,108138.66866729404,72844.41046050732,8554539.002085412
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Cost,Optimal,0.999999999898937,0.0,989.4807052356911,989.4807052356911,19.491062226885003,19.491062226885003,50,3412.41609799745,3.448693925607932,0.0,0.0,3412.4160979974527,10205.452477588287,77958.20116880372
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Cost,Actual,0.999999999898937,0.0,989.4807052356915,989.4807052356915,19.491062226884992,19.491062226884992,50,6103.30578660394,6.168190803208569,,,6103.305786603943,18849.04747760323,1176984.2160944187
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Time,Optimal,0.999999999898937,0.0,989.4807052356911,989.4807052356911,19.491062226885003,19.491062226885003,50,10205.45247758829,10.313947935069628,0.0,0.0,3412.4160979974527,10205.452477588287,77958.20116880372
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Time,Actual,0.999999999898937,0.0,989.4807052356915,989.4807052356915,19.491062226884992,19.491062226884992,50,18849.04747760324,19.049434087962844,,,6103.305786603943,18849.04747760323,1176984.2160944187
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,ShelterKit,20895,Cost,Optimal,0.36429345125737755,0.4057971014492754,1245.8434782608683,3419.8898550724593,4.999999999598661,4.999999999853796,50,36438.703304347786,29.248219328714924,-0.7594202898550713,19.530434782608697,36438.70330434776,12458.434782608674,30543.194137032875
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,ShelterKit,20895,Cost,Actual,0.16364456181685164,0.5579710144927537,559.6463768115932,3419.889855072459,4.999999999106582,4.999999999853797,50,16469.299478260855,29.428046276555268,,,16469.29947826085,5596.463768115936,9977.35671481747
