myDescription,careAboutMonthDemand_Beta_01,t_month_Disaster,numMonthsToAvg,setScenarioProbabilitiesTo1OverN_Flag,minDisasterYear,maxDisasterYear,minYearSubset,maxYearSubset,truckDistanceMethod,expandWhichWarehousesCarryItem_01,maxDrivingTimeCutAbove_Hrs,minTimeRequiredToRespond,numDisasters,n_itemIter,initialInventorySum,objCostType,initialSuppliesVarFlag,disasterID,warehouseID,disasterLocation,transMode,numUnitsMoved,timeHours,costPerTon,distKm
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,2003-0334,"Dallas, Texas","Des Moines, Iowa",Truck,476.0,20.0,137520.0,1021.9236708531496
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,2001-0106,"Philadelphia, Pennsylvania","Richmond, Virginia",Truck,36.0,14.0,50400.0,333.06886775821846
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,2001-0242,"San Francisco, California","Austin, Texas",Truck,434.0,35.0,342240.0,2416.430612800349
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,2008-0627,"San Francisco, California","Springfield, Illinois",Truck,2396.0,39.0,397320.0,2836.6576500926385
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,1995-0083,"Atlanta, Georgia","Montgomery, Alabama",Truck,20.0,12.0,33600.0,235.5654544754617
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,2004-0716,"Philadelphia, Pennsylvania","Harrisburg, Pennsylvania",Truck,111.6,11.0,23160.0,150.8366845131646
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,2008-0352,"Dallas, Texas","Baton Rouge, Louisiana",Truck,42366.0,16.0,85680.0,594.9754790323168
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,2000-0500,"Philadelphia, Pennsylvania","Trenton, New Jersey",Truck,66.0,10.0,9000.0,46.47845640042179
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,2009-0190,"Atlanta, Georgia","Tallahassee, Florida",Truck,396.0,14.0,53040.0,368.6863765314562
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,1997-0127,"San Francisco, California","Helena, Montana",Truck,76.0,26.0,214440.0,1300.7221311386354
