StartDate,EndDate,Country,Location,Type,SubType,Name,TotalKilled,TotalAffected,TotalDamage,DisasterNumber
30/06/2012 ,2012-07-19,District of Columbia,Washington DC,Extreme temperature ,Heat wave ,  ,123,,,2012-0214
9/6/2012,2012-06-12,Florida,Florida Panhandle,Flood ,General Flood ,  ,2,300,174,2012-0177
8/2/2013,2013-02-09,Connecticut,Connecticut,Storm ,Local storm ,  ,15,,100,2013-0054
7/9/2012,2012-09-09,Missouri,Missouri,Storm ,Local storm ,  ,5,,210,2012-0616
2/7/2012,2012-07-04,Ohio,Ohio,Storm ,Local storm ,  ,1,,700,2012-0615
11/6/2012,2012-06-13,Texas,Texas,Storm ,Local storm ,  ,,9003,1900,2012-0614
6/6/2012,2012-06-07,Colorado,Colorado,Storm ,Local storm ,  ,,2,1400,2012-0613
25/05/2012 ,2012-05-30,Oklahoma,Oklahoma,Storm ,Local storm ,  ,,,3400,2012-0612
28/04/2012 ,2012-04-29,Missouri,Missouri,Storm ,Local storm ,  ,1,100,4500,2012-0601
28/06/2012 ,2012-07-02,Ohio,Ohio,Storm ,Local storm ,  ,28,,4000,2012-0503
25/12/2012 ,2012-12-27,Texas,Texas,Storm ,Local storm ,  ,17,,50,2012-0493
19/12/2012 ,2012-12-21,Wisconsin,Wisconsin,Storm ,Local storm ,  ,7,,,2012-0486
28/10/2012 ,2012-10-28,New York,New York,Storm ,Tropical cyclone ,Hurricane Sandy ,54,,50000,2012-0410
28/08/2012 ,2012-08-29,Mississippi,Southern Mississippi,Storm ,Tropical cyclone ,Hurricane Isaac ,1,60000,2000,2012-0313
30/06/2012 ,2012-06-30,District of Columbia,Washington DC ,Storm ,Local storm ,  ,1,,,2012-0234
22/06/2012 ,2012-06-27,Florida,Central Florida and Flori ... ,Storm ,Tropical cyclone ,Tropical storm Debby ,9,17001,210,2012-0176
14/04/2012 ,2012-04-15,Oklahoma,Oklahoma,Storm ,Local storm ,  ,6,297,1800,2012-0156
2/4/2012,2012-04-03,Texas,Dallas-Fort Worth area ,Storm ,Local storm ,  ,,3300,1550,2012-0122
3/8/2012,2012-08-08,Ohio,Cleveland,Wildfire ,  ,  ,1,1809,200,2012-0542
23/06/2012 ,2012-07-10,Colorado,Colorado Springs ,Wildfire ,  ,Waldo Canyon Fire ,2,1038,600,2012-0232
