gglCountryAscii,gglAddressAscii,lat,lng
Alabama,Montgomery,32.3668052,-86.2999689
Alaska,Juneau,58.3019444,-134.4197221
Arizona,Phoenix,33.4483771,-112.0740373
Arkansas,Little Rock,34.7464809,-92.2895948
California,Sacramento,38.5815719,-121.4943996
Colorado,Denver,39.7392358,-104.990251
Connecticut,Hartford,41.7637111,-72.6850932
Delaware,Dover,39.158168,-75.5243682
Florida,Tallahassee,30.4382559,-84.2807329
Georgia,Atlanta,33.7489954,-84.3879824
Hawaii,Honolulu,21.3069444,-157.8583333
Idaho,Boise,43.6187102,-116.2146068
Illinois,Springfield,39.7817213,-89.6501481
Indiana,Indianapolis,39.768403,-86.158068
Iowa,Des Moines,41.6005448,-93.6091064
Kansas,Topeka,39.0558235,-95.6890185
Kentucky,Frankfort,38.2009055,-84.8732835
Louisiana,Baton Rouge,30.4582829,-91.1403196
Maine,Augusta,44.3106241,-69.7794897
Maryland,Annapolis,38.9784453,-76.4921829
Massachusetts,Boston,42.3600825,-71.0588801
Michigan,Lansing,42.732535,-84.5555347
Minnesota,Saint Paul,44.9537029,-93.0899578
Mississippi,Jackson,32.2987573,-90.1848103
Missouri,Jefferson City,38.5767017,-92.1735164
Montana,Helena,46.5883707,-112.0245054
Nebraska,Lincoln,40.8257625,-96.6851982
Nevada,Carson City,39.1637984,-119.7674034
New Hampshire,Concord,43.2081366,-71.5375718
New Jersey,Trenton,40.2170534,-74.7429384
New Mexico,Santa Fe,35.6869752,-105.937799
New York,Albany,42.6525793,-73.7562317
North Carolina,Raleigh,35.7795897,-78.6381787
North Dakota,Bismarck,46.8083268,-100.7837392
Ohio,Columbus,39.9611755,-82.9987942
Oklahoma,Oklahoma City,35.4675602,-97.5164276
Oregon,Salem,44.9428975,-123.0350963
Pennsylvania,Harrisburg,40.2731911,-76.8867008
Rhode Island,Providence,41.8239891,-71.4128343
South Carolina,Columbia,34.0007104,-81.0348144
South Dakota,Pierre,44.3683156,-100.3509665
Tennessee,Nashville,36.1626638,-86.7816016
Texas,Austin,30.267153,-97.7430608
Utah,Salt Lake City,40.7607793,-111.8910474
Vermont,Montpelier,44.2600593,-72.5753869
Virginia,Richmond,37.5407246,-77.4360481
Washington,Olympia,47.0378741,-122.9006951
West Virginia,Charleston,38.3498195,-81.6326234
Wisconsin,Madison,43.0730517,-89.4012302
Wyoming,Cheyenne,41.1399814,-104.8202462
