Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,Distance_km,DrivingTime_h
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Sacramento , United States",United States,38.5815719,-121.4943996,141.0,1.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Carson City , United States",United States,39.1637984,-119.7674034,347.0,3.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Olympia , United States",United States,47.0378741,-122.9006951,1204.0,11.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Salem , United States",United States,42.51954,-70.8967155,5018.0,45.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Austin , United States",United States,30.267153,-97.7430608,2837.0,25.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Helena , United States",United States,46.5883707,-112.0245054,1765.0,16.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Montgomery , United States",United States,32.3668052,-86.2999689,3824.0,35.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Phoenix , United States",United States,33.4483771,-112.0740373,1213.0,11.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Tallahassee , United States",United States,30.4382559,-84.2807329,4249.0,37.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Raleigh , United States",United States,35.7795897,-78.6381787,4571.0,41.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Springfield , United States",United States,42.1014831,-72.589811,4856.0,44.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Charleston , United States",United States,32.7764749,-79.9310512,4470.0,40.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Bismarck , United States",United States,46.8083268,-100.7837392,2537.0,23.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Jefferson City , United States",United States,38.5767017,-92.1735164,3157.0,28.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Albany , United States",United States,42.6525793,-73.7562317,4723.0,42.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Juneau , United States",United States,58.3019444,-134.4197221,4048.0,51.0
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0,"Harrisburg , United States",United States,40.2731911,-76.8867008,4465.0,40.0
